episode,any_hit_ep_rate,hunt_ep_rate,offensive_rate,double_hit_pct,hit_retreat_pct
50000,0.020000,0.020000,1.000000,0.000000,1.000000
200000,0.000000,0.000000,0.000000,0.000000,0.000000
400000,0.000000,0.000000,0.000000,0.000000,0.000000
550000,0.000000,0.000000,0.000000,0.000000,0.000000
750000,0.020000,0.000000,0.000000,0.000000,1.000000
900000,0.060000,0.020000,0.333333,0.000000,1.000000
1050000,0.060000,0.000000,0.000000,0.000000,1.000000
1250000,0.080000,0.080000,1.000000,0.000000,1.000000
1400000,0.000000,0.000000,0.000000,0.000000,0.000000
1600000,0.040000,0.000000,0.000000,0.000000,1.000000
1750000,0.000000,0.000000,0.000000,0.000000,0.000000
1900000,0.440000,0.040000,0.021739,0.000000,1.000000
2100000,0.120000,0.040000,0.269231,0.130435,0.869565
2250000,0.080000,0.080000,1.000000,0.500000,0.500000
2400000,0.640000,0.340000,0.784615,0.274510,0.725490
2600000,0.980000,0.120000,0.109375,0.000000,1.000000
2750000,0.400000,0.280000,0.578947,0.407407,0.592593
2950000,0.800000,0.740000,0.868852,0.089286,0.910714
3100000,0.880000,0.120000,0.936170,0.021739,0.978261
3250000,0.800000,0.600000,0.627119,0.000000,1.000000
3450000,0.180000,0.120000,0.761905,0.235294,0.764706
3600000,1.000000,0.960000,0.565421,0.244186,0.755814
3800000,0.880000,0.320000,0.025239,0.006130,0.993870
3950000,0.960000,0.920000,0.910714,0.000000,1.000000
4100000,0.880000,0.680000,0.717949,0.344828,0.655172
4300000,0.980000,0.980000,0.738636,0.189189,0.810811
4450000,0.760000,0.300000,0.252525,0.053191,0.946809
4650000,0.560000,0.420000,0.581081,0.174603,0.825397
4800000,0.440000,0.060000,0.250000,0.076923,0.923077
4950000,1.000000,0.720000,0.165919,0.044496,0.955504
5150000,0.460000,0.260000,0.666667,0.026316,0.973684
5300000,0.520000,0.320000,0.690476,0.076923,0.923077
5450000,0.820000,0.420000,0.413462,0.118280,0.881720
5650000,0.220000,0.080000,0.538462,0.000000,1.000000
5800000,1.000000,0.520000,0.413333,0.013514,0.986486
6000000,0.220000,0.000000,0.000000,0.000000,1.000000
6150000,0.160000,0.160000,0.857143,0.166667,0.833333
6300000,0.880000,0.740000,0.227660,0.073059,0.926941
6500000,0.760000,0.180000,0.208333,0.021277,0.978723
6650000,0.660000,0.120000,0.258278,0.290598,0.709402
6850000,0.860000,0.100000,0.041096,0.000000,1.000000
7000000,1.000000,0.320000,0.301370,0.140625,0.859375
7150000,0.940000,0.120000,0.006170,0.002319,0.997681
7350000,0.960000,0.120000,0.069444,0.006993,0.993007
7500000,0.960000,0.680000,0.659341,0.083333,0.916667
7700000,0.880000,0.700000,0.896552,0.000000,1.000000
7850000,0.960000,0.280000,0.028470,0.005367,0.994633
8000000,1.000000,0.460000,0.454545,0.239437,0.760563
8200000,0.980000,0.280000,0.308824,0.062500,0.937500
8350000,0.500000,0.480000,0.529412,0.228916,0.771084
8500000,1.000000,0.840000,0.496124,0.258537,0.741463
8700000,0.840000,0.020000,0.010753,0.000000,1.000000
8850000,0.800000,0.080000,0.027957,0.013072,0.986928
9050000,0.960000,0.940000,0.288136,0.002833,0.997167
9200000,0.960000,0.620000,0.339332,0.318644,0.681356
9350000,0.680000,0.240000,0.036320,0.018496,0.981504
9550000,0.640000,0.300000,0.259615,0.019608,0.980392
9700000,0.980000,0.960000,0.488987,0.254144,0.745856
9900000,0.920000,0.100000,0.145455,0.018519,0.981481
10000001,0.700000,0.560000,0.666667,0.076923,0.923077
