episode,any_hit_ep_rate,hunt_ep_rate,offensive_rate,double_hit_pct,hit_retreat_pct
10000,0.050000,0.050000,0.850000,0.818182,0.181818
260000,0.020000,0.020000,1.000000,1.000000,0.000000
510000,0.070000,0.000000,0.000000,0.000000,1.000000
760000,0.110000,0.000000,0.000000,0.000000,1.000000
1010000,0.100000,0.000000,0.000000,0.000000,1.000000
1260000,0.480000,0.450000,0.528000,0.336898,0.663102
1510000,0.890000,0.690000,0.282511,0.098522,0.901478
1760000,0.890000,0.830000,0.810811,0.037383,0.962617
2010000,0.890000,0.870000,0.813559,0.044248,0.955752
2260000,0.890000,0.850000,0.828829,0.047170,0.952830
2510000,0.870000,0.840000,0.857143,0.056604,0.943396
2760000,0.920000,0.900000,0.857143,0.041322,0.958678
3010000,0.920000,0.900000,0.868571,0.029412,0.970588
3250000,0.920000,0.900000,0.852459,0.028090,0.971910
3500000,0.920000,0.900000,0.885057,0.041916,0.958084
3750000,0.920000,0.900000,0.863636,0.029240,0.970760
4000000,0.900000,0.880000,0.884146,0.031447,0.968553
4250000,0.890000,0.870000,0.884146,0.031447,0.968553
4500000,0.900000,0.880000,0.812500,0.041420,0.958580
4750000,0.900000,0.880000,0.842424,0.037736,0.962264
5000000,0.900000,0.880000,0.884146,0.037975,0.962025
5250000,0.890000,0.870000,0.808383,0.037267,0.962733
5500000,0.950000,0.930000,0.897727,0.035294,0.964706
5750000,0.930000,0.900000,0.859504,0.043103,0.956897
6000000,0.930000,0.890000,0.832000,0.041667,0.958333
