episode,any_hit_ep_rate,hunt_ep_rate,offensive_rate,double_hit_pct,hit_retreat_pct
50000,0.170000,0.170000,0.976744,0.000000,1.000000
450000,0.000000,0.000000,0.000000,0.000000,0.000000
900000,0.000000,0.000000,0.000000,0.000000,0.000000
1300000,0.000000,0.000000,0.000000,0.000000,0.000000
1700000,0.000000,0.000000,0.000000,0.000000,0.000000
2100000,0.000000,0.000000,0.000000,0.000000,0.000000
2550000,0.000000,0.000000,0.000000,0.000000,0.000000
2950000,0.000000,0.000000,0.000000,0.000000,0.000000
3350000,0.000000,0.000000,0.000000,0.000000,0.000000
3800000,0.000000,0.000000,0.000000,0.000000,0.000000
4200000,0.000000,0.000000,0.000000,0.000000,0.000000
4600000,0.000000,0.000000,0.000000,0.000000,0.000000
5050000,0.000000,0.000000,0.000000,0.000000,0.000000
5450000,0.000000,0.000000,0.000000,0.000000,0.000000
5850000,0.010000,0.010000,1.000000,0.000000,1.000000
6250000,0.010000,0.010000,1.000000,0.000000,1.000000
6700000,0.170000,0.080000,0.592593,0.000000,1.000000
7100000,0.000000,0.000000,0.000000,0.000000,0.000000
7500000,0.000000,0.000000,0.000000,0.000000,0.000000
7950000,0.000000,0.000000,0.000000,0.000000,0.000000
8350000,0.000000,0.000000,0.000000,0.000000,0.000000
8750000,0.020000,0.000000,0.000000,0.000000,1.000000
9150000,0.000000,0.000000,0.000000,0.000000,0.000000
9600000,0.000000,0.000000,0.000000,0.000000,0.000000
10000000,0.000000,0.000000,0.000000,0.000000,0.000000
