episode,r0_hit_rate,r1_hit_rate,both_hit_rate,r0_hunt_rate,r1_hunt_rate,both_hunt_rate,coop_rate,r0_offensive,r1_offensive,r2_kill_rate
50000,0.080000,0.040000,0.000000,0.080000,0.040000,0.000000,0.020000,1.000000,1.000000,0.000000
150000,0.220000,0.240000,0.000000,0.220000,0.240000,0.000000,0.040000,1.000000,1.000000,0.000000
200000,0.220000,0.240000,0.140000,0.220000,0.220000,0.120000,0.060000,1.000000,0.842105,0.000000
300000,0.020000,0.560000,0.020000,0.020000,0.540000,0.020000,0.040000,1.000000,0.896552,0.000000
350000,0.040000,0.460000,0.020000,0.040000,0.460000,0.020000,0.000000,1.000000,0.916667,0.000000
450000,0.040000,0.560000,0.020000,0.040000,0.560000,0.020000,0.020000,1.000000,0.936709,0.000000
550000,0.040000,0.560000,0.000000,0.040000,0.540000,0.000000,0.020000,1.000000,0.942029,0.000000
600000,0.000000,0.400000,0.000000,0.000000,0.360000,0.000000,0.020000,0.000000,0.884615,0.000000
700000,0.060000,0.280000,0.020000,0.060000,0.240000,0.000000,0.000000,1.000000,0.891892,0.000000
800000,0.040000,0.300000,0.020000,0.040000,0.260000,0.000000,0.040000,1.000000,0.896552,0.000000
850000,0.080000,0.420000,0.040000,0.080000,0.400000,0.020000,0.020000,1.000000,0.924242,0.000000
950000,0.060000,0.360000,0.040000,0.060000,0.360000,0.040000,0.060000,1.000000,0.940000,0.000000
1050000,0.120000,0.360000,0.060000,0.120000,0.360000,0.060000,0.060000,1.000000,0.952381,0.000000
1100000,0.000000,0.220000,0.000000,0.000000,0.180000,0.000000,0.020000,0.000000,0.904762,0.000000
1200000,0.060000,0.280000,0.020000,0.060000,0.260000,0.000000,0.000000,1.000000,0.941176,0.000000
1250000,0.040000,0.420000,0.040000,0.040000,0.400000,0.020000,0.020000,1.000000,0.955224,0.000000
1350000,0.000000,0.300000,0.000000,0.000000,0.300000,0.000000,0.020000,0.000000,0.947368,0.000000
1450000,0.060000,0.220000,0.040000,0.060000,0.220000,0.040000,0.000000,1.000000,0.945946,0.000000
1500000,0.020000,0.360000,0.000000,0.020000,0.340000,0.000000,0.040000,1.000000,0.933333,0.000000
1600000,0.060000,0.320000,0.020000,0.060000,0.300000,0.000000,0.020000,1.000000,0.880000,0.000000
1650000,0.040000,0.320000,0.020000,0.040000,0.300000,0.020000,0.040000,1.000000,0.931818,0.000000
1750000,0.140000,0.300000,0.000000,0.140000,0.300000,0.000000,0.020000,1.000000,0.905660,0.000000
1850000,0.080000,0.300000,0.020000,0.080000,0.280000,0.000000,0.040000,1.000000,0.957447,0.000000
1900000,0.040000,0.200000,0.020000,0.040000,0.180000,0.020000,0.020000,1.000000,0.972973,0.000000
2000000,0.040000,0.260000,0.000000,0.040000,0.260000,0.000000,0.020000,1.000000,0.958333,0.000000
