episode,r0_hit_rate,r1_hit_rate,both_hit_rate,r0_hunt_rate,r1_hunt_rate,both_hunt_rate,coop_rate,r0_offensive,r1_offensive,r2_kill_rate
50000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
700000,0.000000,0.080000,0.000000,0.000000,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000
850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1000000,0.000000,0.040000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,1.000000,0.000000
1100000,0.040000,0.020000,0.000000,0.040000,0.020000,0.000000,0.020000,1.000000,1.000000,0.000000
1250000,0.100000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1400000,0.160000,0.160000,0.000000,0.160000,0.160000,0.000000,0.000000,1.000000,1.000000,0.000000
1500000,0.040000,0.160000,0.000000,0.040000,0.160000,0.000000,0.020000,1.000000,1.000000,0.000000
1650000,0.060000,0.040000,0.000000,0.060000,0.040000,0.000000,0.020000,0.875000,1.000000,0.000000
1800000,0.100000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1900000,0.040000,0.040000,0.000000,0.040000,0.040000,0.000000,0.000000,1.000000,1.000000,0.000000
2050000,0.080000,0.100000,0.000000,0.080000,0.100000,0.000000,0.000000,1.000000,1.000000,0.000000
2200000,0.020000,0.220000,0.020000,0.020000,0.200000,0.000000,0.020000,1.000000,0.857143,0.000000
2300000,0.060000,0.100000,0.000000,0.060000,0.100000,0.000000,0.000000,1.000000,1.000000,0.000000
2450000,0.120000,0.140000,0.020000,0.120000,0.140000,0.020000,0.000000,1.000000,1.000000,0.000000
2600000,0.000000,0.080000,0.000000,0.000000,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000
2700000,0.200000,0.580000,0.060000,0.200000,0.540000,0.060000,0.020000,1.000000,0.885417,0.000000
2850000,0.040000,0.340000,0.000000,0.040000,0.300000,0.000000,0.000000,1.000000,0.772727,0.000000
3000000,0.200000,0.380000,0.040000,0.200000,0.380000,0.040000,0.080000,0.961538,1.000000,0.000000
3100000,0.160000,0.380000,0.080000,0.160000,0.360000,0.080000,0.020000,1.000000,0.956522,0.000000
3250000,0.220000,0.400000,0.120000,0.220000,0.400000,0.120000,0.020000,1.000000,1.000000,0.000000
