episode,any_hit_ep_rate,hunt_ep_rate,offensive_rate,double_hit_pct,hit_retreat_pct
50000,0.110000,0.110000,0.948718,0.695652,0.304348
450000,0.000000,0.000000,0.000000,0.000000,0.000000
900000,0.060000,0.060000,0.875000,0.142857,0.857143
1300000,0.030000,0.030000,1.000000,0.000000,1.000000
1700000,0.100000,0.000000,0.000000,0.000000,1.000000
2100000,0.420000,0.020000,0.005128,0.000000,1.000000
2550000,1.000000,0.140000,0.019771,0.000000,1.000000
2950000,1.000000,0.980000,0.362369,0.286996,0.713004
3350000,1.000000,0.660000,0.321929,0.312061,0.687939
3800000,1.000000,0.160000,0.034513,0.012545,0.987455
4200000,0.740000,0.630000,0.542169,0.172316,0.827684
4600000,1.000000,0.540000,0.231156,0.134981,0.865019
5050000,1.000000,0.590000,0.236842,0.139186,0.860814
5450000,1.000000,0.530000,0.207192,0.127413,0.872587
5850000,1.000000,0.510000,0.191275,0.091575,0.908425
6250000,0.360000,0.270000,0.461538,0.083333,0.916667
6700000,1.000000,0.090000,0.012461,0.000000,1.000000
7100000,1.000000,0.160000,0.037647,0.017964,0.982036
7500000,1.000000,0.030000,0.005208,0.000000,1.000000
7950000,0.960000,0.870000,0.193398,0.005637,0.994363
8350000,1.000000,0.420000,0.048708,0.001992,0.998008
8750000,1.000000,0.060000,0.007056,0.001009,0.998991
9150000,1.000000,0.050000,0.008102,0.000000,1.000000
9600000,1.000000,0.420000,0.021152,0.010974,0.989026
10000000,1.000000,0.910000,0.467078,0.146226,0.853774
