episode,any_hit_ep_rate,hunt_ep_rate,offensive_rate,double_hit_pct,hit_retreat_pct
50000,0.150000,0.140000,0.937500,0.230769,0.769231
350000,0.000000,0.000000,0.000000,0.000000,0.000000
650000,0.000000,0.000000,0.000000,0.000000,0.000000
1000000,0.000000,0.000000,0.000000,0.000000,0.000000
1300000,0.000000,0.000000,0.000000,0.000000,0.000000
1600000,0.000000,0.000000,0.000000,0.000000,0.000000
1950000,0.000000,0.000000,0.000000,0.000000,0.000000
2250000,0.000000,0.000000,0.000000,0.000000,0.000000
2550000,0.000000,0.000000,0.000000,0.000000,0.000000
2850000,0.050000,0.000000,0.000000,0.000000,1.000000
3150000,0.000000,0.000000,0.000000,0.000000,0.000000
3500000,0.020000,0.020000,1.000000,1.000000,0.000000
3800000,0.000000,0.000000,0.000000,0.000000,0.000000
4100000,0.000000,0.000000,0.000000,0.000000,0.000000
4450000,0.000000,0.000000,0.000000,0.000000,0.000000
4750000,0.000000,0.000000,0.000000,0.000000,0.000000
5050000,0.030000,0.000000,0.000000,0.000000,1.000000
5350000,0.000000,0.000000,0.000000,0.000000,0.000000
5650000,0.000000,0.000000,0.000000,0.000000,0.000000
6000000,0.070000,0.050000,0.500000,0.714286,0.285714
6300000,0.000000,0.000000,0.000000,0.000000,0.000000
6600000,0.000000,0.000000,0.000000,0.000000,0.000000
6950000,0.000000,0.000000,0.000000,0.000000,0.000000
7250000,0.000000,0.000000,0.000000,0.000000,0.000000
7550000,0.000000,0.000000,0.000000,0.000000,0.000000
