episode,any_hit_ep_rate,hunt_ep_rate,offensive_rate,double_hit_pct,hit_retreat_pct
10000,0.100000,0.100000,0.916667,0.500000,0.500000
260000,1.000000,0.000000,0.000000,0.000000,1.000000
520000,0.666667,0.000000,0.000000,0.000000,1.000000
770000,0.533333,0.000000,0.000000,0.000000,1.000000
1030000,0.600000,0.000000,0.000000,0.000000,1.000000
1280000,0.166667,0.033333,0.004132,0.000000,1.000000
1540000,1.000000,0.033333,0.000536,0.000000,1.000000
1790000,1.000000,0.066667,0.006233,0.002679,0.997321
2050000,1.000000,1.000000,0.290873,0.002010,0.997990
2300000,1.000000,0.066667,0.009091,0.002278,0.997722
2560000,1.000000,1.000000,0.141509,0.070707,0.929293
2810000,1.000000,1.000000,0.338624,0.243421,0.756579
3070000,1.000000,0.100000,0.045714,0.023392,0.976608
3320000,1.000000,0.733333,0.297436,0.317568,0.682432
3580000,1.000000,0.766667,0.311765,0.287879,0.712121
3830000,1.000000,0.100000,0.042857,0.014493,0.985507
4090000,1.000000,0.066667,0.016854,0.008499,0.991501
4340000,1.000000,0.533333,0.215116,0.081761,0.918239
4600000,1.000000,0.200000,0.088398,0.058480,0.941520
4850000,1.000000,0.233333,0.104046,0.054878,0.945122
