episode,any_hit_ep_rate,hunt_ep_rate,offensive_rate,double_hit_pct,hit_retreat_pct
10000,0.040000,0.040000,1.000000,0.600000,0.400000
260000,0.650000,0.040000,0.006891,0.001726,0.998274
510000,0.650000,0.050000,0.002349,0.000392,0.999608
760000,0.800000,0.140000,0.003395,0.000600,0.999400
1010000,0.760000,0.010000,0.000426,0.000000,1.000000
1260000,0.960000,0.050000,0.001522,0.000508,0.999492
1510000,1.000000,0.060000,0.002770,0.000616,0.999384
1760000,0.990000,0.060000,0.015415,0.012405,0.987595
2010000,0.330000,0.230000,0.550000,0.212121,0.787879
2260000,0.430000,0.410000,1.000000,0.418182,0.581818
2510000,0.240000,0.160000,0.370000,0.086957,0.913043
2760000,0.500000,0.450000,0.880000,0.102941,0.897059
3010000,0.510000,0.400000,0.574257,0.074468,0.925532
3260000,0.620000,0.420000,0.174873,0.042478,0.957522
3510000,0.550000,0.200000,0.278689,0.173077,0.826923
3760000,0.620000,0.460000,0.472727,0.018519,0.981481
4010000,0.660000,0.490000,0.577143,0.047904,0.952096
4260000,0.460000,0.240000,0.482353,0.062500,0.937500
4510000,0.420000,0.390000,0.845070,0.224138,0.775862
4760000,0.660000,0.450000,0.500000,0.058824,0.941176
5010000,0.630000,0.600000,0.925532,0.119048,0.880952
5260000,0.900000,0.840000,0.643902,0.453901,0.546099
5510000,0.870000,0.540000,0.480000,0.235741,0.764259
5760000,0.670000,0.450000,0.647619,0.082474,0.917526
6000001,0.370000,0.330000,0.852941,0.046154,0.953846
