episode,any_hit_ep_rate,hunt_ep_rate,offensive_rate,double_hit_pct,hit_retreat_pct
10000,0.080000,0.080000,1.000000,0.684211,0.315789
260000,1.000000,0.120000,0.007214,0.000555,0.999445
510000,0.650000,0.020000,0.000770,0.000257,0.999743
760000,0.570000,0.040000,0.011370,0.009390,0.990610
1010000,0.730000,0.030000,0.000660,0.000000,1.000000
1260000,1.000000,0.050000,0.001443,0.000321,0.999679
1510000,1.000000,0.070000,0.001765,0.000482,0.999518
1760000,1.000000,0.170000,0.048883,0.024809,0.975191
2010000,1.000000,0.020000,0.001348,0.000674,0.999326
2260000,1.000000,0.760000,0.218531,0.034358,0.965642
2510000,1.000000,0.310000,0.061908,0.026158,0.973842
2760000,1.000000,0.790000,0.302128,0.127098,0.872902
3010000,1.000000,0.970000,0.298319,0.202020,0.797980
3260000,1.000000,0.350000,0.210069,0.149701,0.850299
3510000,1.000000,0.910000,0.288503,0.089835,0.910165
3760000,1.000000,0.730000,0.253550,0.100446,0.899554
4010000,1.000000,0.370000,0.206835,0.134694,0.865306
4260000,1.000000,0.370000,0.165329,0.094903,0.905097
4510000,1.000000,0.950000,0.312127,0.313316,0.686684
4760000,1.000000,0.490000,0.173432,0.084000,0.916000
5010000,1.000000,0.390000,0.176976,0.104364,0.895636
5260000,1.000000,0.590000,0.227723,0.097826,0.902174
5510000,1.000000,0.160000,0.044892,0.012539,0.987461
5760000,1.000000,0.330000,0.066781,0.005164,0.994836
6000002,1.000000,0.460000,0.164341,0.093220,0.906780
