robot_1/q_std,survival_rate,total_charges_per_episode,robot_0/q_std,mean_final_energy,robot_2/loss,episode_length,_runtime,robot_1/loss,robot_3/q_mean,total_kills_per_episode,total_agent_collisions_per_episode,_step,global_step,std_episode_reward,robot_0/loss,mean_episode_reward,episode,robot_3/loss,robot_3/q_std,_timestamp,robot_2/q_std,robot_0/q_mean,robot_2/q_mean,robot_1/q_mean
,4.0,0.0,,118.25,,120.0,139.121100583,,,0.0,0.0,69,2797,5.926864685480848,,28.505000000000003,61.0,,,1763370654.062738,,,,
,,,,,0.028476649895310402,,150.901514,,,,,73,3000,,,,,,,1763370665.843895,1.0112272500991821,,3.354304552078247,
,,,,,,,150.913492,,2.098079204559326,,,74,3000,,,,,0.013926698826253414,0.5187045931816101,1763370665.855946,,,,
,4.0,0.0,,192.0,,500.0,186.548774875,,,0.0,0.0,76,3633,5.437067224156677,,167.17000000000004,64.0,,,1763370701.491791,,,,
,4.0,0.0,,141.75,,297.0,202.275781917,,,0.0,0.0,77,3930,6.380910985118078,,103.88500000000022,65.0,,,1763370717.219575,,,,
,,,0.7401536107063293,,,,205.624645917,,,,,78,4000,,0.007262068800628185,,,,,1763370720.568595,,2.1702449321746826,,
,,,,,,,205.657837833,,2.3585591316223145,,,81,4000,,,,,0.10897115617990494,0.6438560485839844,1763370720.6018329,,,,
,4.0,0.0,,198.5,,500.0,261.588977042,,,0.0,0.0,83,4930,2.468385099614706,,171.98499999999999,67.0,,,1763370776.533661,,,,
,,,0.9004318714141846,,,,267.101457083,,,,,84,5000,,0.06262963265180588,,,,,1763370782.0458372,,2.641057014465332,,
0.915071964263916,,,,,,,267.117309042,0.012421208433806896,,,,85,5000,,,,,,,1763370782.062762,,,,2.8926169872283936
,,,,,0.11399316787719727,,267.136729,,,,,86,5000,,,,,,,1763370782.0819561,1.0830225944519043,,4.419966697692871,
,4.0,0.0,,144.25,,355.0,283.292219625,,,0.0,0.0,88,5285,11.440915610212262,,110.7400000000003,68.0,,,1763370798.238302,,,,
,4.0,0.0,,106.25,,222.0,296.251465542,,,0.0,0.0,89,5507,8.570816763879677,,70.77999999999999,69.0,,,1763370811.1975439,,,,
,4.0,0.0,,94.25,,155.0,304.21113675,,,0.0,0.0,90,5662,2.5052993833073356,,44.864999999999945,70.0,,,1763370819.157364,,,,
,4.0,0.0,,92.75,,55.0,306.931000375,,,0.0,0.0,91,5717,1.860920471164741,,12.975000000000005,71.0,,,1763370821.8778281,,,,
,,,,,0.014813761226832867,,330.958891333,,,,,94,6000,,,,,,,1763370845.9063208,1.0085155963897705,,5.423890590667725,
,,,,,,,330.972827,,3.5251193046569824,,,95,6000,,,,,0.09134829789400101,0.7262502908706665,1763370845.920236,,,,
,,,0.5711793303489685,,,,405.062983417,,,,,99,7000,,0.024911921471357346,,,,,1763370920.0091882,,3.7979416847229004,,
,,,,,,,405.188036833,,4.095916748046875,,,102,7000,,,,,0.05849693715572357,0.8231462240219116,1763370920.135495,,,,
,4.0,0.0,,149.5,,192.0,431.213686042,,,0.0,0.0,104,7236,7.361814908702934,,60.537499999999966,76.0,,,1763370946.1609101,,,,
,4.0,0.0,,194.25,,500.0,485.790763292,,,0.0,0.0,106,7929,6.596129073176157,,170.3175,78.0,,,1763371000.740437,,,,
0.6791843175888062,,,,,,,491.944716625,0.01947707310318947,,,,108,8000,,,,,,,1763371006.896645,,,,4.212520599365234
,,,,,0.0697595626115799,,491.960870917,,,,,109,8000,,,,,,,1763371006.912529,1.3331040143966675,,6.13138484954834,
,4.0,0.0,,172.25,,500.0,563.664433583,,,0.0,0.0,112,8683,7.328868858834811,,174.0975,80.0,,,1763371078.617929,,,,
,4.0,0.0,,163.5,,500.0,628.846957625,,,0.0,0.0,118,9569,4.784929466564974,,161.7599999999999,82.0,,,1763371143.8024,,,,
,,,0.7868262529373169,,,,653.198143958,,,,,119,10000,,0.007543118670582771,,,,,1763371168.154509,,5.451436519622803,,
0.7943457365036011,,,,,,,653.210253708,0.008128619752824306,,,,120,10000,,,,,,,1763371168.166883,,,,5.326349258422852
,,,,,,,653.234613083,,5.923480987548828,,,122,10000,,,,,0.010160990059375763,0.5623156428337097,1763371168.191252,,,,
,4.0,0.0,,196.5,,500.0,656.696738083,,,0.0,0.0,123,10069,6.887078480749201,,167.58999999999995,83.0,,,1763371171.6533802,,,,
,4.0,0.0,,99.25,,207.0,668.046767792,,,0.0,0.0,124,10276,6.696105211240367,,53.93499999999999,84.0,,,1763371183.003755,,,,
0.6917693018913269,,,,,,,718.911634667,0.0067420294508337975,,,,127,11000,,,,,,,1763371233.869677,,,,5.969814300537109
0.9237640500068665,,,,,,,792.0231665,0.012912812642753124,,,,133,12000,,,,,,,1763371306.9836318,,,,6.341736316680908
,,,,,,,792.053353917,,6.600109100341797,,,135,12000,,,,,0.061670683324337006,0.8750362396240234,1763371307.013758,,,,
,4.0,0.0,,186.0,,500.0,807.962142667,,,0.0,0.0,136,12276,9.796716286593009,,163.3599999999999,88.0,,,1763371322.923028,,,,
,4.0,0.0,,143.25,,319.0,825.405273458,,,0.0,0.0,137,12595,12.179115320909087,,105.37000000000018,89.0,,,1763371340.366375,,,,
,,,,,0.07198036462068558,,851.14566325,,,,,140,13000,,,,,,,1763371366.107637,1.2447073459625244,,8.442651748657227,
,4.0,0.0,,196.75,,500.0,856.941488667,,,0.0,0.0,142,13095,4.562764375901887,,171.34249999999994,90.0,,,1763371371.903807,,,,
,4.0,0.0,,196.25,,500.0,886.994706708,,,0.0,0.0,143,13595,2.479509780178349,,168.71250000000003,91.0,,,1763371401.957668,,,,
,,,0.6653743982315063,,,,922.543612333,,,,,145,14000,,0.015160320326685905,,,,,1763371437.507749,,7.34687614440918,,
,,,,,0.03126879036426544,,922.574760125,,,,,147,14000,,,,,,,1763371437.53898,1.0220928192138672,,9.345733642578125,
,4.0,0.0,,196.0,,500.0,954.02889975,,,0.0,0.0,149,14366,8.392513032459286,,163.08500000000012,93.0,,,1763371468.993375,,,,
,4.0,0.0,,148.5,,500.0,982.380021333,,,0.0,0.0,150,14866,5.33638688627407,,164.235,94.0,,,1763371497.3454988,,,,
,,,,,0.02411939948797226,,994.77975025,,,,,153,15000,,,,,,,1763371509.745996,1.1298882961273193,,9.777093887329102,
,4.0,0.0,,147.5,,500.0,1019.171534,,,0.0,0.0,155,15366,5.586933416463734,,164.97500000000005,95.0,,,1763371534.1362271,,,,
,,,0.6270195841789246,,,,1064.954446458,,,,,157,16000,,0.006056270562112331,,,,,1763371579.922444,,8.185684204101562,,
,,,,,0.025822410359978676,,1064.976619792,,,,,159,16000,,,,,,,1763371579.944819,1.8330625295639038,,9.788003921508789,
,4.0,0.0,,188.25,,500.0,1084.6658765,,,0.0,0.0,161,16366,3.994141803942258,,162.8825000000001,97.0,,,1763371599.63466,,,,
