survival_rate,total_kills_per_episode,robot_1/loss,robot_2/q_std,episode,epsilon,global_step,robot_0/q_mean,_step,robot_0/q_std,robot_2/loss,robot_1/q_mean,robot_3/q_std,total_agent_collisions_per_episode,total_charges_per_episode,_runtime,robot_0/loss,mean_final_energy,episode_length,_timestamp,robot_3/q_mean,std_episode_reward,robot_3/loss,robot_2/q_mean,mean_episode_reward,robot_1/q_std
1.0,0.0,,,180.0,0.0,362,,180,,,,,1.0,0.0,18.491414244,,12.25,2.0,1763415960.4791021,,0.21650635094610965,,,-0.865,
1.0,0.0,,,193.0,0.0,388,,193,,,,,1.0,0.0,18.539824188,,12.25,2.0,1763415960.5276012,,0.21650635094610965,,,-0.865,
1.0,0.0,,,195.0,0.0,392,,195,,,,,1.0,0.0,18.546937197,,12.25,2.0,1763415960.5347962,,0.21650635094610965,,,-0.865,
1.0,0.0,,,198.0,0.0,398,,198,,,,,1.0,0.0,18.557808846,,12.25,2.0,1763415960.54568,,0.21650635094610965,,,-0.865,
1.0,0.0,,,203.0,0.0,408,,203,,,,,1.0,0.0,18.576772487,,12.25,2.0,1763415960.5643237,,0.21650635094610965,,,-0.865,
1.0,0.0,,,213.0,0.0,428,,213,,,,,1.0,0.0,18.618449289,,12.25,2.0,1763415960.6059787,,0.21650635094610965,,,-0.865,
1.0,0.0,,,214.0,0.0,430,,214,,,,,1.0,0.0,18.622192937,,12.25,2.0,1763415960.6098876,,0.21650635094610965,,,-0.865,
1.0,0.0,,,215.0,0.0,432,,215,,,,,1.0,0.0,18.625869433,,12.25,2.0,1763415960.6135616,,0.21650635094610965,,,-0.865,
1.0,0.0,,,217.0,0.0,436,,217,,,,,1.0,0.0,18.633448687,,12.25,2.0,1763415960.6209948,,0.21650635094610965,,,-0.865,
1.0,0.0,,,228.0,0.0,458,,228,,,,,1.0,0.0,18.674495098,,12.25,2.0,1763415960.6621897,,0.21650635094610965,,,-0.865,
1.0,0.0,,,233.0,0.0,468,,233,,,,,1.0,0.0,18.69335775,,12.25,2.0,1763415960.6811273,,0.21650635094610965,,,-0.865,
1.0,0.0,,,242.0,0.0,486,,242,,,,,1.0,0.0,18.72719169,,12.25,2.0,1763415960.7149796,,0.21650635094610965,,,-0.865,
1.0,0.0,,,248.0,0.0,498,,248,,,,,1.0,0.0,18.750205775,,12.25,2.0,1763415960.7377546,,0.21650635094610965,,,-0.865,
1.0,0.0,,,251.0,0.0,504,,251,,,,,1.0,0.0,18.761757659,,12.25,2.0,1763415960.7492998,,0.21650635094610965,,,-0.865,
1.0,0.0,,,259.0,0.0,520,,259,,,,,1.0,0.0,18.792065867,,12.25,2.0,1763415960.7797804,,0.21650635094610965,,,-0.865,
1.0,0.0,,,265.0,0.0,532,,265,,,,,1.0,0.0,18.815197652,,12.25,2.0,1763415960.8028831,,0.21650635094610965,,,-0.865,
1.0,0.0,,,270.0,0.0,542,,270,,,,,1.0,0.0,18.833641835,,12.25,2.0,1763415960.8213356,,0.21650635094610965,,,-0.865,
1.0,0.0,,,272.0,0.0,546,,272,,,,,1.0,0.0,18.841022316,,12.25,2.0,1763415960.8287003,,0.21650635094610965,,,-0.865,
1.0,0.0,,,273.0,0.0,548,,273,,,,,1.0,0.0,18.844831498,,12.25,2.0,1763415960.8325095,,0.21650635094610965,,,-0.865,
1.0,0.0,,,274.0,0.0,550,,274,,,,,1.0,0.0,18.848497784,,12.25,2.0,1763415960.8361652,,0.21650635094610965,,,-0.865,
1.0,0.0,,,279.0,0.0,560,,279,,,,,1.0,0.0,18.866771146,,12.25,2.0,1763415960.8544405,,0.21650635094610965,,,-0.865,
1.0,0.0,,,283.0,0.0,568,,283,,,,,1.0,0.0,18.88185029,,12.25,2.0,1763415960.8694222,,0.21650635094610965,,,-0.865,
1.0,0.0,,,292.0,0.0,586,,292,,,,,1.0,0.0,18.91608104,,12.25,2.0,1763415960.9036229,,0.21650635094610965,,,-0.865,
1.0,0.0,,,302.0,0.0,606,,302,,,,,1.0,0.0,18.953426471,,12.25,2.0,1763415960.9410548,,0.21650635094610965,,,-0.865,
1.0,0.0,,,321.0,0.0,644,,321,,,,,1.0,0.0,19.026101028,,12.25,2.0,1763415961.0136793,,0.21650635094610965,,,-0.865,
1.0,0.0,,,324.0,0.0,650,,324,,,,,1.0,0.0,19.037485638,,12.25,2.0,1763415961.0251334,,0.21650635094610965,,,-0.865,
1.0,0.0,,,327.0,0.0,656,,327,,,,,1.0,0.0,19.049227725,,12.25,2.0,1763415961.0369208,,0.21650635094610965,,,-0.865,
1.0,0.0,,,330.0,0.0,662,,330,,,,,1.0,0.0,19.060522888,,12.25,2.0,1763415961.048233,,0.21650635094610965,,,-0.865,
1.0,0.0,,,332.0,0.0,666,,332,,,,,1.0,0.0,19.068169699,,12.25,2.0,1763415961.0559263,,0.21650635094610965,,,-0.865,
1.0,0.0,,,337.0,0.0,676,,337,,,,,1.0,0.0,19.087515793,,12.25,2.0,1763415961.075219,,0.21650635094610965,,,-0.865,
1.0,0.0,,,340.0,0.0,682,,340,,,,,1.0,0.0,19.098845565,,12.25,2.0,1763415961.086542,,0.21650635094610965,,,-0.865,
1.0,0.0,,,353.0,0.0,708,,353,,,,,1.0,0.0,19.148834434,,12.25,2.0,1763415961.1363888,,0.21650635094610965,,,-0.865,
1.0,0.0,,,354.0,0.0,710,,354,,,,,1.0,0.0,19.152664358,,12.25,2.0,1763415961.140266,,0.21650635094610965,,,-0.865,
1.0,0.0,,,358.0,0.0,718,,358,,,,,1.0,0.0,19.167825977,,12.25,2.0,1763415961.155377,,0.21650635094610965,,,-0.865,
1.0,0.0,,,370.0,0.0,742,,370,,,,,1.0,0.0,19.213795369,,12.25,2.0,1763415961.2015822,,0.21650635094610965,,,-0.865,
1.0,0.0,,,375.0,0.0,752,,375,,,,,1.0,0.0,19.23286998,,12.25,2.0,1763415961.220487,,0.21650635094610965,,,-0.865,
1.0,0.0,,,396.0,0.0,794,,396,,,,,1.0,0.0,19.314357402,,12.25,2.0,1763415961.3018892,,0.21650635094610965,,,-0.865,
1.0,0.0,,,405.0,0.0,812,,405,,,,,1.0,0.0,19.348144157,,12.25,2.0,1763415961.3358448,,0.21650635094610965,,,-0.865,
1.0,0.0,,,406.0,0.0,814,,406,,,,,1.0,0.0,19.351879379,,12.25,2.0,1763415961.3394303,,0.21650635094610965,,,-0.865,
1.0,0.0,,,407.0,0.0,816,,407,,,,,1.0,0.0,19.355543367,,12.25,2.0,1763415961.3432376,,0.21650635094610965,,,-0.865,
1.0,0.0,,,421.0,0.0,844,,421,,,,,1.0,0.0,19.407939271,,12.25,2.0,1763415961.3956244,,0.21650635094610965,,,-0.865,
1.0,0.0,,,425.0,0.0,852,,425,,,,,1.0,0.0,19.422734541,,12.25,2.0,1763415961.4105132,,0.21650635094610965,,,-0.865,
1.0,0.0,,,429.0,0.0,860,,429,,,,,1.0,0.0,19.438065274,,12.25,2.0,1763415961.4257364,,0.21650635094610965,,,-0.865,
1.0,0.0,,,430.0,0.0,862,,430,,,,,1.0,0.0,19.441736454,,12.25,2.0,1763415961.4294283,,0.21650635094610965,,,-0.865,
1.0,0.0,,,441.0,0.0,884,,441,,,,,1.0,0.0,19.48921082,,12.25,2.0,1763415961.4767606,,0.21650635094610965,,,-0.865,
1.0,0.0,,,447.0,0.0,896,,447,,,,,1.0,0.0,19.511799616,,12.25,2.0,1763415961.4994988,,0.21650635094610965,,,-0.865,
1.0,0.0,,,450.0,0.0,902,,450,,,,,1.0,0.0,19.523200173,,12.25,2.0,1763415961.5108383,,0.21650635094610965,,,-0.865,
1.0,0.0,,,457.0,0.0,916,,457,,,,,1.0,0.0,19.550424705,,12.25,2.0,1763415961.537965,,0.21650635094610965,,,-0.865,
1.0,0.0,,,471.0,0.0,944,,471,,,,,1.0,0.0,19.601401951,,12.25,2.0,1763415961.5892215,,0.21650635094610965,,,-0.865,
1.0,0.0,,,472.0,0.0,946,,472,,,,,1.0,0.0,19.605309036,,12.25,2.0,1763415961.5929813,,0.21650635094610965,,,-0.865,
1.0,0.0,,,481.0,0.0,964,,481,,,,,1.0,0.0,19.639207496,,12.25,2.0,1763415961.627053,,0.21650635094610965,,,-0.865,
1.0,0.0,,,490.0,0.0,982,,490,,,,,1.0,0.0,19.67359432,,12.25,2.0,1763415961.6611261,,0.21650635094610965,,,-0.865,
1.0,0.0,,,495.0,0.0,992,,495,,,,,1.0,0.0,19.692367052,,12.25,2.0,1763415961.6799846,,0.21650635094610965,,,-0.865,
1.0,0.0,,,497.0,0.0,996,,497,,,,,1.0,0.0,19.700132708,,12.25,2.0,1763415961.687806,,0.21650635094610965,,,-0.865,
1.0,0.0,,,500.0,0.0,1002,,504,,,,,0.0,0.0,20.026229722,,24.5,2.0,1763415962.0137446,,0.4286825748732971,,,-0.7424999999999999,
2.0,0.0,,,501.0,0.0,1004,,505,,,,,1.0,2.0,20.059976559,,37.25,2.0,1763415962.0474312,,0.8238742319067881,,,-0.3625,
3.0,0.0,,,511.0,0.0,1028,,515,,,,,0.0,4.0,20.581126669,,62.25,2.0,1763415962.5684142,,0.8975800799928662,,,0.14,
3.0,0.0,,,518.0,0.0,1050,,522,,,,,1.0,10.0,21.127957294,,61.5,5.0,1763415963.1150668,,1.6459097028695104,,,0.9124999999999999,
3.0,0.0,,,526.0,0.0,1077,,530,,,,,0.0,4.0,21.764482336,,74.5,2.0,1763415963.7517936,,0.834457158876356,,,0.2625,
3.0,0.0,,,530.0,0.0,1416,,534,,,,,0.0,200.0,26.737311043,,50.25,100.0,1763415968.7246132,,25.500000980392123,,,25.499999999999986,
3.0,0.0,,,535.0,0.0,1916,,539,,,,,0.0,200.0,32.012924617,,50.25,100.0,1763415974.000223,,25.500000980392123,,,25.499999999999986,
,,0.0008057835511863232,,,,2000,,541,,,0.8155683279037476,,,,33.922939551,,,,1763415975.9104252,,,,,,0.33826106786727905
3.0,0.0,,,539.0,0.0,2267,,547,,,,,0.0,200.0,40.286764146,,50.25,100.0,1763415982.2733338,,25.500000980392123,,,25.499999999999986,
2.0,0.0,,,542.0,0.0,2567,,550,,,,,0.0,200.0,47.586842797,,50.0,100.0,1763415989.5739172,,25.504999999999985,,,25.494999999999987,
,,,,,,3000,0.24286805093288422,555,0.693652868270874,,,,,,57.896600164,0.0025379331782460213,,,1763415999.8838952,,,,,,
3.0,0.0,,,547.0,0.0,3067,,559,,,,,1.0,300.0,59.501132965,,75.0,100.0,1763416001.4880104,,22.087977923522093,,,38.24749999999998,
