robot_0/loss,global_step,episode_length,robot_1/q_std,_runtime,robot_3/q_std,robot_2/q_mean,_timestamp,epsilon,robot_0/q_mean,mean_episode_reward,total_kills_per_episode,total_agent_collisions_per_episode,survival_rate,mean_final_energy,episode,std_episode_reward,_step,total_charges_per_episode,robot_3/q_mean,robot_2/loss,robot_0/q_std,robot_1/loss,robot_3/loss,robot_2/q_std,robot_1/q_mean
,288,2.0,,18.489003392,,,1763425364.1039069,0.2,,-0.3525,0.0,0.0,3.0,50.5,143.0,0.4266365549270245,143,1.0,,,,,,,
,296,2.0,,18.502983359,,,1763425364.117864,0.2,,-0.865,0.0,1.0,1.0,12.25,147.0,0.21650635094610965,147,0.0,,,,,,,
,300,2.0,,18.509468617,,,1763425364.1244984,0.2,,-0.475,0.0,1.0,3.0,38.25,149.0,0.375066660741794,149,1.0,,,,,,,
,302,2.0,,18.51300244,,,1763425364.1279967,0.2,,-0.865,0.0,1.0,1.0,12.25,150.0,0.21650635094610965,150,0.0,,,,,,,
,308,2.0,,18.523027642,,,1763425364.1378748,0.2,,-0.74,0.0,0.0,1.0,24.75,153.0,0.4330127018922193,153,0.0,,,,,,,
,312,2.0,,18.52919327,,,1763425364.1442368,0.2,,-0.3525,0.0,1.0,3.0,50.5,155.0,0.4266365549270245,155,1.0,,,,,,,
,316,2.0,,18.535644213,,,1763425364.1506398,0.2,,-0.6174999999999999,0.0,0.0,2.0,36.75,157.0,0.41081473926820106,157,0.0,,,,,,,
,324,2.0,,18.549863402,,,1763425364.1647449,0.2,,-0.865,0.0,1.0,1.0,12.25,161.0,0.21650635094610965,161,0.0,,,,,,,
,326,2.0,,18.553394582,,,1763425364.168243,0.2,,-0.7424999999999999,0.0,0.0,1.0,24.5,162.0,0.4286825748732971,162,0.0,,,,,,,
,336,2.0,,18.571605908,,,1763425364.1866364,0.2,,-0.74,0.0,0.0,2.0,24.5,167.0,0.25,167,0.0,,,,,,,
,342,2.0,,18.58193002,,,1763425364.1969175,0.2,,-0.74,0.0,0.0,2.0,24.5,170.0,0.25,170,0.0,,,,,,,
,346,2.0,,18.588828651,,,1763425364.2037292,0.2,,-0.7424999999999999,0.0,0.0,1.0,24.5,172.0,0.4286825748732971,172,0.0,,,,,,,
,350,2.0,,18.595636022,,,1763425364.2106607,0.2,,-0.865,0.0,1.0,1.0,12.25,174.0,0.21650635094610965,174,0.0,,,,,,,
,362,2.0,,18.618406398,,,1763425364.233302,0.2,,-0.865,0.0,1.0,1.0,12.25,180.0,0.21650635094610965,180,0.0,,,,,,,
,389,2.0,,18.66624627,,,1763425364.2812896,0.2,,-0.74,0.0,1.0,2.0,24.5,193.0,0.25,193,0.0,,,,,,,
,393,2.0,,18.673416607,,,1763425364.2883153,0.2,,-0.4875,0.0,0.0,2.0,37.25,195.0,0.5025124376570196,195,1.0,,,,,,,
,399,2.0,,18.682226795,,,1763425364.2972422,0.2,,-0.5999999999999999,0.0,1.0,2.0,26.0,198.0,0.4373785545725808,198,1.0,,,,,,,
,409,2.0,,18.707252784,,,1763425364.3223526,0.2,,-0.3475,0.0,0.0,3.0,38.5,203.0,0.43083494519363214,203,2.0,,,,,,,
,429,2.0,,18.744462018,,,1763425364.3594277,0.2,,-0.7424999999999999,0.0,0.0,1.0,24.5,213.0,0.4286825748732971,213,0.0,,,,,,,
,431,2.0,,18.747661691,,,1763425364.362665,0.2,,-0.33499999999999996,0.0,1.0,3.0,39.75,214.0,0.44189930979805797,214,2.0,,,,,,,
,433,2.0,,18.751377383,,,1763425364.3662443,0.2,,-0.35,0.0,1.0,3.0,50.75,215.0,0.42871902220452035,215,1.0,,,,,,,
,437,2.0,,18.758919924,,,1763425364.373983,0.2,,-0.865,0.0,1.0,1.0,12.25,217.0,0.21650635094610965,217,0.0,,,,,,,
,453,2.0,,18.786428529,,,1763425364.401521,0.2,,-0.3675,0.0,0.0,2.0,49.25,225.0,0.6480885356183984,225,1.0,,,,,,,
,459,2.0,,18.797032241,,,1763425364.4121456,0.2,,-0.74,0.0,1.0,2.0,24.5,228.0,0.25,228,0.0,,,,,,,
,470,2.0,,18.815580739,,,1763425364.4305732,0.2,,-0.865,0.0,2.0,1.0,12.25,233.0,0.21650635094610965,233,0.0,,,,,,,
,472,2.0,,18.819639468,,,1763425364.4345546,0.2,,-0.865,0.0,1.0,1.0,12.25,234.0,0.21650635094610965,234,0.0,,,,,,,
,476,2.0,,18.826708276,,,1763425364.4417,0.2,,-0.865,0.0,1.0,1.0,12.25,236.0,0.21650635094610965,236,0.0,,,,,,,
,480,2.0,,18.833068768,,,1763425364.448083,0.2,,-0.5999999999999999,0.0,1.0,2.0,26.0,238.0,0.4373785545725808,238,1.0,,,,,,,
,484,2.0,,18.838953742,,,1763425364.4539313,0.2,,-0.7424999999999999,0.0,0.0,1.0,24.5,240.0,0.4286825748732971,240,0.0,,,,,,,
,486,2.0,,18.841721379,,,1763425364.4568102,0.2,,-0.22499999999999998,0.0,0.0,3.0,50.75,241.0,0.44240818256447295,241,2.0,,,,,,,
,488,2.0,,18.844828293,,,1763425364.4596813,0.2,,-0.865,0.0,1.0,1.0,12.25,242.0,0.21650635094610965,242,0.0,,,,,,,
,499,3.0,,18.863506611,,,1763425364.478623,0.2,,-0.48,1.0,1.0,1.0,12.25,247.0,0.3535533905932738,247,3.0,,,,,,,
,501,2.0,,18.87581317,,,1763425364.4908226,0.2,,-0.6,0.0,1.0,2.0,26.0,248.0,0.4373785545725808,248,1.0,,,,,,,
,507,2.0,,18.88628237,,,1763425364.5013819,0.2,,-0.865,0.0,1.0,1.0,12.25,251.0,0.21650635094610965,251,0.0,,,,,,,
,523,2.0,,18.913262664,,,1763425364.5282667,0.2,,-0.7424999999999999,0.0,0.0,1.0,24.5,259.0,0.4286825748732971,259,0.0,,,,,,,
,527,2.0,,18.91969938,,,1763425364.534775,0.2,,-0.74,0.0,1.0,2.0,24.5,261.0,0.25,261,0.0,,,,,,,
,535,2.0,,18.933247699,,,1763425364.5481339,0.2,,-0.865,0.0,1.0,1.0,12.25,265.0,0.21650635094610965,265,0.0,,,,,,,
,543,2.0,,18.947173801,,,1763425364.562218,0.2,,-0.865,0.0,1.0,1.0,12.25,269.0,0.21650635094610965,269,0.0,,,,,,,
,545,2.0,,18.950827452,,,1763425364.5659227,0.2,,-0.865,0.0,1.0,1.0,12.25,270.0,0.21650635094610965,270,0.0,,,,,,,
,549,2.0,,18.957948793,,,1763425364.5729373,0.2,,-0.6,0.0,0.0,2.0,26.0,272.0,0.4373785545725808,272,1.0,,,,,,,
,551,2.0,,18.961462591,,,1763425364.5765233,0.2,,-0.7424999999999999,0.0,0.0,1.0,24.5,273.0,0.4286825748732971,273,0.0,,,,,,,
,553,2.0,,18.964181427,,,1763425364.5790555,0.2,,-0.74,0.0,1.0,2.0,24.5,274.0,0.25,274,0.0,,,,,,,
,564,2.0,,18.979864101,,,1763425364.5949495,0.2,,-0.6,0.0,0.0,2.0,26.0,279.0,0.4373785545725808,279,1.0,,,,,,,
,570,2.0,,18.988993801,,,1763425364.6038754,0.2,,-0.4875,0.0,1.0,3.0,37.0,282.0,0.35709767571352236,282,1.0,,,,,,,
,572,2.0,,18.992192917,,,1763425364.6072176,0.2,,-0.615,0.0,0.0,2.0,37.0,283.0,0.414578098794425,283,0.0,,,,,,,
,590,2.0,,19.021017054,,,1763425364.63594,0.2,,-0.475,0.0,2.0,3.0,38.25,292.0,0.375066660741794,292,1.0,,,,,,,
,610,2.0,,19.06129363,,,1763425364.6763337,0.2,,-0.6174999999999999,0.0,0.0,2.0,36.75,302.0,0.41081473926820106,302,0.0,,,,,,,
,628,2.0,,19.09004621,,,1763425364.7050183,0.2,,-0.74,0.0,2.0,2.0,24.5,311.0,0.25,311,0.0,,,,,,,
,638,2.0,,19.107305322,,,1763425364.7222304,0.2,,-0.615,0.0,1.0,2.0,37.0,316.0,0.414578098794425,316,0.0,,,,,,,
,650,2.0,,19.125487156,,,1763425364.7404895,0.2,,-0.6125,0.0,1.0,2.0,24.75,321.0,0.4183524232032127,321,1.0,,,,,,,
,656,2.0,,19.135486934,,,1763425364.7503436,0.2,,-0.74,0.0,1.0,2.0,24.5,324.0,0.25,324,0.0,,,,,,,
,662,2.0,,19.150998877,,,1763425364.7658238,0.2,,-0.475,0.0,1.0,3.0,38.25,327.0,0.375066660741794,327,1.0,,,,,,,
,668,2.0,,19.160381052,,,1763425364.7753851,0.2,,-0.6125,0.0,2.0,2.0,24.75,330.0,0.4183524232032127,330,1.0,,,,,,,
,672,2.0,,19.166671905,,,1763425364.7816913,0.2,,-0.74,0.0,0.0,2.0,24.5,332.0,0.25,332,0.0,,,,,,,
,682,2.0,,19.183884612,,,1763425364.798753,0.2,,-0.865,0.0,1.0,1.0,12.25,337.0,0.21650635094610965,337,0.0,,,,,,,
,688,2.0,,19.193618564,,,1763425364.8086743,0.2,,-0.5999999999999999,0.0,0.0,2.0,26.0,340.0,0.4373785545725808,340,1.0,,,,,,,
,690,2.0,,19.197380382,,,1763425364.812246,0.2,,-0.865,0.0,1.0,1.0,12.25,341.0,0.21650635094610965,341,0.0,,,,,,,
,712,2.0,,19.235172652,,,1763425364.8500457,0.2,,-0.6174999999999999,0.0,0.0,2.0,36.75,352.0,0.41081473926820106,352,0.0,,,,,,,
,714,2.0,,19.237930552,,,1763425364.85306,0.2,,-0.7424999999999999,0.0,0.0,1.0,24.5,353.0,0.4286825748732971,353,0.0,,,,,,,
,716,2.0,,19.241059069,,,1763425364.8560948,0.2,,-0.74,0.0,1.0,2.0,24.5,354.0,0.25,354,0.0,,,,,,,
,724,2.0,,19.253350316,,,1763425364.868379,0.2,,-0.865,0.0,0.0,1.0,12.25,358.0,0.21650635094610965,358,0.0,,,,,,,
,732,2.0,,19.267213669,,,1763425364.882105,0.2,,-0.5999999999999999,0.0,1.0,2.0,26.0,362.0,0.4373785545725808,362,1.0,,,,,,,
