robot_3/q_std,_runtime,mean_episode_reward,robot_0/q_std,robot_2/loss,total_kills_per_episode,robot_2/q_std,episode,robot_3/loss,robot_2/q_mean,total_immediate_kills_per_episode,epsilon,_timestamp,episode_length,total_charges_per_episode,std_episode_reward,_step,total_non_home_charges_per_episode,global_step,robot_1/q_std,robot_3/q_mean,robot_1/loss,survival_rate,mean_final_energy,robot_0/loss,robot_0/q_mean,robot_1/q_mean,total_agent_collisions_per_episode
,18.178383661,-0.7975000000000001,,,0.0,,172.0,,,0.0,0.4222502236424958,1763495830.1119342,2.0,0.0,0.21182244923520263,172,0.0,387,,,,2.0,18.75,,,,0.0
,18.186109495,-0.595,,,0.0,,174.0,,,0.0,0.4180382776616619,1763495830.1194263,2.0,1.0,0.39834030677299026,174,0.0,391,,,,3.0,26.25,,,,0.0
,18.208145348,-0.6599999999999999,,,0.0,,180.0,,,0.0,0.40565285250151817,1763495830.1414814,2.0,1.0,0.4346262762420146,180,0.0,403,,,,2.0,20.0,,,,0.0
,18.25324135,-0.44749999999999995,,,0.0,,193.0,,,0.0,0.3800621177172763,1763495830.1865346,3.0,2.0,0.3213545549700517,193,0.0,431,,,,3.0,27.5,,,,1.0
,18.260202008,-0.6599999999999999,,,0.0,,195.0,,,0.0,0.37627099809304654,1763495830.193694,2.0,1.0,0.4346262762420146,195,0.0,435,,,,2.0,20.0,,,,0.0
,18.269387337,-0.4075,,,0.0,,198.0,,,0.0,0.3706551064126331,1763495830.2027562,2.0,2.0,0.4620808911868138,198,0.0,441,,,,3.0,32.5,,,,1.0
,18.29429315,-0.15749999999999997,,,0.0,,203.0,,,0.0,0.3614809303671764,1763495830.22772,2.0,3.0,0.7840719035904806,203,0.0,451,,,,3.0,45.0,,,,0.0
,18.32885384,-0.45999999999999996,,,0.0,,213.0,,,0.0,0.3438081748424137,1763495830.2623353,2.0,2.0,0.53,213,0.0,472,,,,2.0,27.5,,,,0.0
,18.333077841,-0.86,,,0.0,,214.0,,,0.0,0.3420891339682016,1763495830.2663398,2.0,0.0,0.13,214,0.0,474,,,,2.0,12.5,,,,1.0
,18.336440591,-0.595,,,0.0,,215.0,,,0.0,0.3403786882983606,1763495830.2698965,2.0,1.0,0.39834030677299026,215,0.0,476,,,,3.0,26.25,,,,1.0
,18.344392033,-0.7975000000000001,,,0.0,,217.0,,,0.0,0.33698341088258443,1763495830.27783,2.0,0.0,0.21182244923520263,217,0.0,480,,,,2.0,18.75,,,,0.0
,18.38470675,-0.6599999999999999,,,0.0,,228.0,,,0.0,0.31890579420988907,1763495830.3179886,2.0,1.0,0.4346262762420146,228,0.0,504,,,,2.0,20.0,,,,0.0
,18.402692212,-0.8600000000000001,,,0.0,,233.0,,,0.0,0.31101247816653554,1763495830.3361495,2.0,0.0,0.13,233,0.0,514,,,,2.0,12.5,,,,1.0
,18.42659689,-0.7975000000000001,,,0.0,,240.0,,,0.0,0.30028896908517405,1763495830.3598728,2.0,0.0,0.21182244923520263,240,0.0,528,,,,2.0,18.75,,,,1.0
,18.433749208,-0.7975000000000001,,,0.0,,242.0,,,0.0,0.29729358661854943,1763495830.3670607,2.0,0.0,0.21182244923520263,242,0.0,532,,,,2.0,18.75,,,,0.0
,18.456661224,-0.595,,,0.0,,248.0,,,0.0,0.2884855236625661,1763495830.3901486,2.0,1.0,0.3983403067729903,248,0.0,545,,,,3.0,26.25,,,,1.0
,18.468882631,-0.735,,,0.0,,251.0,,,0.0,0.28417984116121187,1763495830.4022346,2.0,0.0,0.3102821296820041,251,0.0,551,,,,2.0,25.0,,,,0.0
,18.499274949,-0.925,,,0.0,,259.0,,,0.0,0.2730095965279488,1763495830.432604,2.0,0.0,0.11258330249197702,259,0.0,567,,,,1.0,6.25,,,,1.0
,18.52240567,-0.6074999999999999,,,0.0,,265.0,,,0.0,0.2649210072611673,1763495830.4557397,2.0,1.0,0.377516555928346,265,0.0,579,,,,3.0,25.0,,,,1.0
,18.542563427,-0.6725,,,0.0,,270.0,,,0.0,0.2583638820072446,1763495830.4759626,2.0,1.0,0.41366502148477574,270,0.0,589,,,,2.0,18.75,,,,1.0
,18.551213355,-0.6725,,,0.0,,272.0,,,0.0,0.25578670228422234,1763495830.484673,2.0,1.0,0.41366502148477574,272,0.0,593,,,,2.0,18.75,,,,1.0
,18.555496875,-0.7975000000000001,,,0.0,,273.0,,,0.0,0.25450776877280124,1763495830.4888015,2.0,0.0,0.21182244923520263,273,0.0,595,,,,2.0,18.75,,,,0.0
,18.559032623,-0.6725,,,0.0,,274.0,,,0.0,0.2532352299289372,1763495830.4923258,2.0,1.0,0.4136650214847758,274,0.0,597,,,,2.0,18.75,,,,1.0
,18.580072106,-0.925,,,0.0,,279.0,,,0.0,0.24696734223472733,1763495830.5134802,2.0,0.0,0.11258330249197702,279,0.0,607,,,,1.0,6.25,,,,1.0
,18.596112011,-0.5974999999999999,,,0.0,,283.0,,,0.0,0.24206491716205145,1763495830.5295177,2.0,1.0,0.4380282525134652,283,0.0,615,,,,2.0,26.25,,,,0.0
,18.633594339,-0.925,,,0.0,,292.0,,,1.0,0.231387331601191,1763495830.566941,2.0,0.0,0.11258330249197702,292,0.0,633,,,,1.0,6.25,,,,2.0
,18.68362015,-0.8625,,,0.0,,302.0,,,1.0,0.22007483514733558,1763495830.6169162,2.0,0.0,0.22083647796503186,302,0.0,653,,,,1.0,12.5,,,,1.0
,18.761674008,-0.925,,,0.0,,321.0,,,0.0,0.2000824143909432,1763495830.6950626,2.0,0.0,0.11258330249197702,321,0.0,691,,,,1.0,6.25,,,,1.0
,18.772368761,-0.23249999999999998,,,0.0,,324.0,,,0.0,0.19709615934585656,1763495830.706018,2.0,3.0,0.4373428289111415,324,0.0,697,,,,3.0,37.5,,,,0.0
,18.784260469,-0.925,,,0.0,,327.0,,,0.0,0.19415447453059972,1763495830.7176979,2.0,0.0,0.11258330249197702,327,0.0,703,,,,1.0,6.25,,,,1.0
,18.796443644,-0.925,,,0.0,,330.0,,,0.0,0.1912566947289212,1763495830.7298908,2.0,0.0,0.11258330249197702,330,0.0,709,,,,1.0,6.25,,,,1.0
,18.803890605,-0.925,,,0.0,,332.0,,,0.0,0.18934890919900021,1763495830.7374632,2.0,0.0,0.11258330249197702,332,0.0,713,,,,1.0,6.25,,,,1.0
,18.824855752,-0.6599999999999999,,,0.0,,337.0,,,0.0,0.1846622876013121,1763495830.7584407,2.0,1.0,0.4346262762420146,337,0.0,723,,,,2.0,20.0,,,,0.0
,18.836724834,-0.8600000000000001,,,0.0,,340.0,,,0.0,0.18190617987607657,1763495830.770317,2.0,0.0,0.13,340,0.0,729,,,,2.0,12.5,,,,1.0
,18.894804049,-0.925,,,0.0,,353.0,,,0.0,0.17043057265153258,1763495830.8281093,2.0,0.0,0.11258330249197702,353,0.0,755,,,,1.0,6.25,,,,1.0
,18.89897443,-0.8,,,0.0,,354.0,,,0.0,0.16957841978827493,1763495830.8323154,2.0,0.0,0.32908965343808666,354,0.0,757,,,,1.0,18.75,,,,0.0
,18.916272944,-0.925,,,0.0,,358.0,,,0.0,0.1662122034722543,1763495830.849529,2.0,0.0,0.11258330249197702,358,0.0,765,,,,1.0,6.25,,,,0.0
,18.9671985,-0.925,,,0.0,,370.0,,,0.0,0.15650920157696743,1763495830.9004905,2.0,0.0,0.11258330249197702,370,0.0,789,,,,1.0,6.25,,,,1.0
,18.986250292,-0.595,,,0.0,,375.0,,,0.0,0.1526354036900377,1763495830.9198017,2.0,1.0,0.39834030677299026,375,0.0,799,,,,3.0,26.25,,,,1.0
,19.073043541,-0.86,,,0.0,,396.0,,,0.0,0.13738520790976036,1763495831.006527,2.0,0.0,0.13,396,0.0,841,,,,2.0,12.5,,,,1.0
,19.081052197,-0.925,,,0.0,,398.0,,,0.0,0.13601479046086049,1763495831.0143127,2.0,0.0,0.11258330249197702,398,0.0,845,,,,1.0,6.25,,,,1.0
,19.123981243,-0.925,,,0.0,,405.0,,,0.0,0.1313250884614265,1763495831.0572681,2.0,0.0,0.11258330249197702,405,0.0,859,,,,1.0,6.25,,,,2.0
,19.128128318999998,-0.925,,,0.0,,406.0,,,0.0,0.13066846301911936,1763495831.0614433,2.0,0.0,0.11258330249197702,406,0.0,861,,,,1.0,6.25,,,,1.0
,19.133344815,-0.925,,,0.0,,407.0,,,0.0,0.13001512070402377,1763495831.0667377,2.0,0.0,0.11258330249197702,407,0.0,863,,,,1.0,6.25,,,,0.0
,19.193585098,-0.5449999999999999,,,0.0,,421.0,,,0.0,0.12120401149972035,1763495831.1270132,2.0,1.0,0.48236397046213975,421,0.0,891,,,,3.0,31.25,,,,0.0
,19.211724089,-0.925,,,0.0,,425.0,,,0.0,0.11879805134519765,1763495831.1450481,2.0,0.0,0.11258330249197702,425,0.0,899,,,,1.0,6.25,,,,1.0
,19.228255915,-0.15749999999999997,,,0.0,,429.0,,,0.0,0.11643985070121858,1763495831.161662,2.0,3.0,0.48966187313287934,429,0.0,907,,,,3.0,45.0,,,,0.0
,19.233052648,-0.925,,,0.0,,430.0,,,0.0,0.11585765144771248,1763495831.1663516,2.0,0.0,0.11258330249197702,430,0.0,909,,,,1.0,6.25,,,,1.0
,19.277257275,-0.925,,,0.0,,441.0,,,0.0,0.10964241905397228,1763495831.2105563,2.0,0.0,0.11258330249197702,441,0.0,931,,,,1.0,6.25,,,,1.0
,19.301861986,-0.925,,,0.0,,447.0,,,0.0,0.1063939893092943,1763495831.2352808,2.0,0.0,0.11258330249197702,447,0.0,943,,,,1.0,6.25,,,,1.0
,19.314301679,-0.6599999999999999,,,0.0,,450.0,,,0.0,0.10480604571960442,1763495831.2477992,2.0,1.0,0.4346262762420146,450,0.0,949,,,,2.0,20.0,,,,0.0
,19.343440208,-0.925,,,0.0,,457.0,,,0.0,0.10119240105273684,1763495831.2767544,2.0,0.0,0.11258330249197702,457,0.0,963,,,,1.0,6.25,,,,1.0
,19.403967106,-0.925,,,0.0,,471.0,,,0.0,0.0943346041173244,1763495831.3372629,2.0,0.0,0.11258330249197702,471,0.0,991,,,,1.0,6.25,,,,1.0
,19.408214822,-0.925,,,0.0,,472.0,,,0.0,0.09386293109673778,1763495831.3417428,2.0,0.0,0.11258330249197702,472,0.0,993,,,,1.0,6.25,,,,1.0
,19.823893912,-0.36,,,0.0,,477.0,,,0.0,0.09153970651645797,1763495831.757081,2.0,2.0,0.8234986338786482,481,0.0,1003,,,,2.0,37.5,,,,0.0
