robot_1/q_std,total_charges_per_episode,robot_0/q_std,mean_final_energy,std_episode_reward,robot_2/q_std,_runtime,robot_1/loss,episode,robot_3/loss,episode_length,_step,mean_episode_reward,total_kills_per_episode,total_agent_collisions_per_episode,robot_0/q_mean,robot_2/loss,epsilon,robot_0/loss,robot_3/q_std,global_step,survival_rate,robot_1/q_mean,_timestamp,robot_2/q_mean,robot_3/q_mean
,2.0,,6.75,0.28359301824974464,,17.982348225,,7.0,,16.0,7,-1.025,0.0,13.0,,,0.2,,,132,3.0,,1763403621.6898031,,
,4.0,,19.5,1.1054637036103903,,18.492775692,,33.0,,15.0,33,-0.6599999999999999,0.0,13.0,,,0.2,,,548,2.0,,1763403622.2002022,,
,3.0,,29.0,0.354003884159482,,18.747994641,,47.0,,17.0,47,-0.6675,0.0,5.0,,,0.2,,,780,3.0,,1763403622.4555159,,
,382.0,,96.0,9.866895091668926,,34.481478009,,70.0,,162.0,74,48.82749999999991,0.0,25.0,,,0.2,,,1647,3.0,,1763403638.1885433,,
,104.0,,109.0,5.326407677788097,,37.54949877,,73.0,,45.0,77,13.037500000000001,0.0,14.0,,,0.2,,,1773,3.0,,1763403641.2565112,,
,,,,,0.4573386311531067,229.173388386,,,,,133,,,,,0.009863574989140034,,,,10000,,,1763403832.8807266,4.472674369812012,
,1539.0,,147.25,5.717811535019232,,281.069061986,,99.0,,500.0,147,197.3474999999996,0.0,10.0,,,0.2,,,12176,4.0,,1763403884.776088,,
,,0.8741274476051331,,,,300.80089141,,,,,149,,,,5.57249641418457,,,0.005761272739619017,,13000,,,1763403904.5079443,,
0.6337552070617676,,,,,,300.807582387,0.00261672749184072,,,,150,,,,,,,,,13000,,6.562027931213379,1763403904.5149415,,
,,,,,,457.870833482,,,0.009758380241692066,,195,,,,,,,,0.3896390199661255,20000,,,1763404061.5781624,,9.973426818847656
,,,,,,526.947595533,,,0.003709746990352869,,213,,,,,,,,0.29697105288505554,23000,,,1763404130.654961,,11.243149757385254
,299.0,,112.5,2.4279659696956335,,591.148561541,,128.0,,99.0,228,37.98750000000001,0.0,18.0,,,0.2,,,25930,3.0,,1763404194.8556368,,
,1475.0,,148.75,9.27398073914316,,603.103705524,,129.0,,500.0,233,189.3624999999997,0.0,23.0,,,0.2,,,26430,4.0,,1763404206.810679,,
,917.0,,90.75,10.647875374928258,,662.353531521,,135.0,,344.0,251,117.47000000000025,0.0,33.0,,,0.2,,,29197,3.0,,1763404266.0605867,,
,344.0,,112.5,12.531062155699278,,739.770094233,,145.0,,136.0,273,43.98250000000001,0.0,18.0,,,0.2,,,32636,3.0,,1763404343.47711,,
,,0.9313005208969116,,,,747.790586277,,,,,274,,,,14.015042304992676,,,0.14452335238456726,,33000,,,1763404351.4975271,,
,1450.0,,144.75,10.003450342256725,,974.273059933,,168.0,,500.0,340,186.1974999999997,0.0,29.0,,,0.2,,,43093,4.0,,1763404577.980143,,
0.921877384185791,,,,,,1089.255822613,0.07014668732881546,,,,370,,,,,,,,,48000,,19.565067291259766,1763404692.96311,,
,,,,,,1182.858235979,,,0.012848127633333206,,396,,,,,,,,0.4005233645439148,52000,,,1763404786.56552,,21.069679260253906
,,,,,,1342.170539636,,,0.018760817125439644,,441,,,,,,,,0.7786374688148499,59000,,,1763404945.878057,,22.95999526977539
1.9039535522460938,,,,,,1457.281144873,0.02582528069615364,,,,471,,,,,,,,,64000,,23.931175231933594,1763405060.9885378,,
0.34497448801994324,,,,,,1519.443156176,0.004189688712358475,,,,490,,,,,,,,,67000,,25.23682403564453,1763405123.1506338,,
,,,,,0.39214596152305603,1558.748558207,,,,,504,,,,,0.00779225118458271,,,,69000,,,1763405162.455973,25.735637664794922,
,,0.6884410381317139,,,,1605.746514516,,,,,515,,,,25.785709381103516,,,0.2068975269794464,,71000,,,1763405209.45384,,
0.49894997477531433,,,,,,1642.234595439,0.041286054998636246,,,,530,,,,,,,,,73000,,26.322669982910156,1763405245.9419205,,
0.3280152976512909,,,,,,1730.168132261,0.011479897424578667,,,,555,,,,,,,,,77000,,27.310733795166016,1763405333.875443,,
,1472.0,,148.75,7.3690412368231035,,1745.870075388,,251.0,,500.0,559,188.98749999999973,0.0,27.0,,,0.2,,,77653,4.0,,1763405349.576824,,
,,,,,,1860.106969542,,,0.04040764644742012,,595,,,,,,,,0.41691040992736816,83000,,,1763405463.8143313,,29.03321075439453
,1428.0,,141.75,16.943964080167095,,2002.698624256,,278.0,,500.0,630,183.41749999999965,0.0,69.0,,,0.2,,,88937,4.0,,1763405606.4056387,,
,,,,,,2016.763057019,,,0.014154668897390366,,640,,,,,,,,1.3365503549575806,90000,,,1763405620.470695,,30.275718688964844
0.4770325720310211,,,,,,2197.138795535,0.015548475086688995,,,,689,,,,,,,,,98000,,31.87335968017578,1763405800.846253,,
,1381.0,,107.75,11.186266971156867,,2248.600729906,,307.0,,500.0,707,177.20249999999984,0.0,54.0,,,0.2,,,100104,4.0,,1763405852.3077703,,
,1041.0,,92.25,19.592792679962617,,2448.842396097,,335.0,,380.0,767,133.34500000000025,0.0,61.0,,,0.2,,,108675,3.0,,1763406052.5494587,,
,257.0,,92.5,7.4173761364784525,,2473.882996188,,339.0,,101.0,775,32.55750000000002,0.0,39.0,,,0.2,,,109755,3.0,,1763406077.5903907,,
,394.0,,95.0,12.146749307942416,,2505.274070599,,344.0,,152.0,788,50.21749999999997,1.0,37.0,,,0.2,,,111065,3.0,,1763406108.9811032,,
