mean_episode_reward,robot_0/loss,survival_rate,robot_0/q_mean,std_episode_reward,robot_3/loss,total_non_home_charges_per_episode,epsilon,global_step,robot_1/q_mean,robot_2/q_mean,robot_1/loss,total_immediate_kills_per_episode,_timestamp,episode,robot_3/q_std,mean_final_energy,_runtime,robot_2/loss,robot_0/q_std,robot_2/q_std,robot_3/q_mean,total_kills_per_episode,total_agent_collisions_per_episode,episode_length,total_charges_per_episode,_step,robot_1/q_std
-0.4075,,3.0,,0.4059171713539598,,0.0,0.4439551321314536,372,,,,0.0,1763489956.0615494,162.0,,45.0,18.191870216,,,,,0.0,0.0,2.0,1.0,162,
-0.6225,,2.0,,0.4334382885717412,,0.0,0.42650460709830135,388,,,,0.0,1763489956.084034,170.0,,23.75,18.214211494,,,,,0.0,0.0,2.0,1.0,170,
-0.7849999999999999,,2.0,,0.20500000000000002,,0.0,0.4222502236424958,392,,,,0.0,1763489956.090007,172.0,,20.0,18.220208624,,,,,0.0,0.0,2.0,0.0,172,
-0.6824999999999999,,3.0,,0.17753520777580994,,0.0,0.4180382776616619,396,,,,0.0,1763489956.0956037,174.0,,30.0,18.225698578,,,,,0.0,0.0,2.0,0.0,174,
-0.7849999999999999,,2.0,,0.20500000000000002,,0.0,0.40565285250151817,408,,,,0.0,1763489956.1152203,180.0,,20.0,18.245375504,,,,,0.0,1.0,2.0,0.0,180,
-0.35999999999999993,,3.0,,0.6050206608042407,,0.0,0.3800621177172763,436,,,,0.0,1763489956.1537583,193.0,,23.75,18.283995546,,,,,0.0,0.0,3.0,3.0,193,
-0.285,,3.0,,0.5843158392513419,,0.0,0.37627099809304654,441,,,,0.0,1763489956.1606016,195.0,,31.25,18.290814565,,,,,0.0,0.0,3.0,3.0,195,
-0.7849999999999999,,2.0,,0.20500000000000002,,0.0,0.3706551064126331,447,,,,0.0,1763489956.1681273,198.0,,20.0,18.298165545,,,,,0.0,0.0,2.0,0.0,198,
-0.4575,,3.0,,0.359887135085432,,0.0,0.3614809303671764,458,,,,0.0,1763489956.1914818,203.0,,52.5,18.321576567,,,,,0.0,0.0,2.0,0.0,203,
-0.6599999999999999,,2.0,,0.3743661309466977,,0.0,0.3438081748424137,478,,,,0.0,1763489956.221372,213.0,,32.5,18.35172934,,,,,0.0,0.0,2.0,0.0,213,
-0.7875000000000001,,1.0,,0.3507402885326976,,0.0,0.3420891339682016,480,,,,0.0,1763489956.2247403,214.0,,20.0,18.354921486,,,,,0.0,0.0,2.0,0.0,214,
-0.685,,2.0,,0.33619190948028477,,0.0,0.3403786882983606,482,,,,0.0,1763489956.227322,215.0,,30.0,18.357488691,,,,,0.0,0.0,2.0,0.0,215,
-0.8875,,1.0,,0.17753520777580994,,0.0,0.33698341088258443,486,,,,0.0,1763489956.233232,217.0,,10.0,18.363409867,,,,,0.0,1.0,2.0,0.0,217,
-0.37,,3.0,,0.4399431781491787,,0.0,0.31890579420988907,509,,,,0.0,1763489956.267847,228.0,,36.25,18.398173174,,,,,0.0,1.0,2.0,2.0,228,
-0.12,,3.0,,0.7589795781178833,,0.0,0.31101247816653554,519,,,,0.0,1763489956.282719,233.0,,48.75,18.412908597,,,,,0.0,0.0,2.0,3.0,233,
-0.5349999999999999,,2.0,,0.4604617247937118,,0.0,0.29729358661854943,537,,,,0.0,1763489956.3107002,242.0,,32.5,18.440901002,,,,,0.0,0.0,2.0,1.0,242,
-0.8875,,1.0,,0.17753520777580994,,0.0,0.2884855236625661,549,,,,1.0,1763489956.3309007,248.0,,10.0,18.461057101,,,,,0.0,2.0,2.0,0.0,248,
-0.5825,,3.0,,0.2863891583143468,,0.0,0.28417984116121187,555,,,,0.0,1763489956.3404164,251.0,,40.0,18.470613261,,,,,0.0,0.0,2.0,0.0,251,
-0.8875,,1.0,,0.17753520777580994,,0.0,0.2730095965279488,571,,,,0.0,1763489956.365125,259.0,,10.0,18.495445439,,,,,0.0,1.0,2.0,0.0,259,
-0.6225,,2.0,,0.4334382885717412,,0.0,0.2649210072611673,583,,,,0.0,1763489956.385053,265.0,,23.75,18.515225368,,,,,0.0,0.0,2.0,1.0,265,
-0.7625,,1.0,,0.3940415587219196,,0.0,0.2583638820072446,593,,,,0.0,1763489956.401947,270.0,,22.5,18.532258986,,,,,0.0,0.0,2.0,0.0,270,
-0.5349999999999999,,2.0,,0.4604617247937118,,0.0,0.25578670228422234,597,,,,0.0,1763489956.4088323,272.0,,32.5,18.539105505,,,,,0.0,0.0,2.0,1.0,272,
-0.6225,,2.0,,0.4334382885717412,,0.0,0.25450776877280124,599,,,,0.0,1763489956.4125862,273.0,,23.75,18.542828959,,,,,0.0,0.0,2.0,1.0,273,
-0.52,,3.0,,0.3795391942869669,,0.0,0.2532352299289372,601,,,,0.0,1763489956.4159172,274.0,,33.75,18.546087049,,,,,0.0,0.0,2.0,1.0,274,
-0.7849999999999999,,2.0,,0.20500000000000002,,0.0,0.24696734223472733,611,,,,0.0,1763489956.4332438,279.0,,20.0,18.563581099,,,,,0.0,1.0,2.0,0.0,279,
-0.635,,2.0,,0.41355168963504435,,0.0,0.24206491716205145,620,,,,0.0,1763489956.447691,283.0,,22.5,18.577887483,,,,,0.0,1.0,2.0,1.0,283,
-0.6225,,2.0,,0.4334382885717412,,0.0,0.231387331601191,638,,,,0.0,1763489956.4761717,292.0,,23.75,18.606335088,,,,,0.0,0.0,2.0,1.0,292,
-0.3725,,2.0,,0.6297767461569218,,0.0,0.22007483514733558,658,,,,0.0,1763489956.518534,302.0,,36.25,18.648610171,,,,,0.0,0.0,2.0,2.0,302,
-0.35749999999999993,,3.0,,0.45140752098298054,,0.0,0.2000824143909432,696,,,,1.0,1763489956.5819232,321.0,,37.5,18.712152699,,,,,0.0,2.0,2.0,2.0,321,
-0.635,,2.0,,0.41355168963504435,,0.0,0.19709615934585656,702,,,,0.0,1763489956.5918245,324.0,,22.5,18.722004086,,,,,0.0,1.0,2.0,1.0,324,
-0.3725,,2.0,,0.6297767461569218,,0.0,0.19415447453059972,708,,,,0.0,1763489956.6022682,327.0,,36.25,18.732519035,,,,,0.0,0.0,2.0,2.0,327,
-0.6225,,2.0,,0.4334382885717412,,0.0,0.1912566947289212,714,,,,0.0,1763489956.6128201,330.0,,23.75,18.742871742,,,,,0.0,0.0,2.0,1.0,330,
-0.8875,,1.0,,0.17753520777580994,,0.0,0.18934890919900021,718,,,,0.0,1763489956.6202953,332.0,,10.0,18.750579416,,,,,0.0,1.0,2.0,0.0,332,
-0.8875,,1.0,,0.17753520777580994,,0.0,0.1846622876013121,728,,,,0.0,1763489956.6369631,337.0,,10.0,18.767171616,,,,,0.0,1.0,2.0,0.0,337,
-0.6225,,2.0,,0.4334382885717412,,0.0,0.18190617987607657,734,,,,0.0,1763489956.6477294,340.0,,23.75,18.778030376,,,,,0.0,0.0,2.0,1.0,340,
-0.7849999999999999,,2.0,,0.20500000000000002,,0.0,0.17043057265153258,760,,,,0.0,1763489956.6961303,353.0,,20.0,18.826454908,,,,,0.0,1.0,2.0,0.0,353,
-0.8875,,1.0,,0.17753520777580994,,0.0,0.16957841978827493,762,,,,0.0,1763489956.6999848,354.0,,10.0,18.830232771,,,,,0.0,1.0,2.0,0.0,354,
-0.635,,2.0,,0.41355168963504435,,0.0,0.1662122034722543,770,,,,0.0,1763489956.7139437,358.0,,22.5,18.844172566,,,,,0.0,1.0,2.0,1.0,358,
-0.5825,,3.0,,0.2863891583143468,,0.0,0.15650920157696743,794,,,,0.0,1763489956.755693,370.0,,40.0,18.885891675,,,,,0.0,0.0,2.0,0.0,370,
