robot_2/loss,_runtime,robot_1/loss,robot_2/q_mean,robot_3/q_mean,robot_3/q_std,std_episode_reward,robot_1/q_std,robot_0/q_std,epsilon,mean_episode_reward,episode_length,total_kills_per_episode,total_immediate_kills_per_episode,robot_0/loss,robot_3/loss,survival_rate,_step,robot_0/q_mean,total_charges_per_episode,total_agent_collisions_per_episode,episode,global_step,mean_final_energy,total_non_home_charges_per_episode,robot_1/q_mean,robot_2/q_std,_timestamp
,18.160947008,,,,,0.53,,,0.45522245551230495,-0.95,3.0,1.0,0.0,,,2.0,157,,2.0,3.0,157.0,482,27.5,0.0,,,1763511444.5995545
,18.178744456,,,,,0.8715790268243035,,,0.4439551321314536,-0.7,3.0,0.0,0.0,,,2.0,162,,3.0,0.0,162.0,497,40.0,0.0,,,1763511444.6175032
,18.208591158,,,,,0.41910619179391756,,,0.42650460709830135,-1.1,3.0,1.0,1.0,,,2.0,170,,0.0,1.0,170.0,521,37.5,0.0,,,1763511444.6472175
,18.217733406,,,,,0.0,,,0.4222502236424958,-1.48,3.0,0.0,0.0,,,0.0,172,,0.0,1.0,172.0,527,0.0,0.0,,,1763511444.656317
,18.225296579,,,,,0.4589934640057525,,,0.4180382776616619,-1.2149999999999999,3.0,0.0,0.0,,,1.0,174,,1.0,2.0,174.0,533,13.75,0.0,,,1763511444.6639855
,18.247172277,,,,,0.0,,,0.40565285250151817,-1.48,3.0,1.0,0.0,,,0.0,180,,0.0,2.0,180.0,551,0.0,0.0,,,1763511444.6860092
,18.300958222,,,,,0.4589934640057525,,,0.3800621177172763,-1.2149999999999999,3.0,3.0,0.0,,,1.0,193,,1.0,4.0,193.0,590,13.75,0.0,,,1763511444.7397168
,18.309330943,,,,,0.0,,,0.37627099809304654,-1.48,3.0,1.0,0.0,,,0.0,195,,0.0,1.0,195.0,596,0.0,0.0,,,1763511444.7480702
,18.321060737,,,,,0.4589934640057525,,,0.3706551064126331,-1.2149999999999999,3.0,1.0,0.0,,,1.0,198,,1.0,1.0,198.0,605,13.75,1.0,,,1763511444.759785
,18.349410786,,,,,0.4373428289111415,,,0.3614809303671764,-1.2275,3.0,0.0,0.0,,,1.0,203,,1.0,0.0,203.0,620,12.5,0.0,,,1763511444.7880077
,18.387799374,,,,,0.4589934640057525,,,0.3438081748424137,-1.2149999999999999,3.0,2.0,0.0,,,1.0,213,,1.0,3.0,213.0,650,13.75,0.0,,,1763511444.826683
,18.392656561,,,,,0.0,,,0.3420891339682016,-1.48,3.0,1.0,0.0,,,0.0,214,,0.0,3.0,214.0,653,0.0,0.0,,,1763511444.831246
,18.396521661,,,,,0.4380282525134652,,,0.3403786882983606,-1.0875,3.0,0.0,0.0,,,2.0,215,,1.0,0.0,215.0,656,26.25,0.0,,,1763511444.8352273
,18.404898517,,,,,0.4589934640057525,,,0.33698341088258443,-1.2149999999999999,3.0,0.0,0.0,,,1.0,217,,1.0,0.0,217.0,662,13.75,1.0,,,1763511444.8436933
,18.453033223,,,,,0.4589934640057525,,,0.31890579420988907,-1.2149999999999999,3.0,0.0,0.0,,,1.0,228,,1.0,1.0,228.0,695,13.75,0.0,,,1763511444.891771
,18.474717321,,,,,0.4373428289111415,,,0.31101247816653554,-1.2275,3.0,0.0,1.0,,,1.0,233,,1.0,2.0,233.0,710,12.5,0.0,,,1763511444.9133213
,18.506503116,,,,,0.4589934640057525,,,0.30028896908517405,-1.2149999999999999,3.0,0.0,0.0,,,1.0,240,,1.0,1.0,240.0,731,13.75,0.0,,,1763511444.9451385
,18.514101436,,,,,0.53,,,0.29729358661854943,-0.95,3.0,0.0,1.0,,,2.0,242,,2.0,2.0,242.0,737,27.5,0.0,,,1763511444.9529989
,18.538871971,,,,,0.0,,,0.2884855236625661,-1.48,3.0,0.0,0.0,,,0.0,248,,0.0,2.0,248.0,755,0.0,0.0,,,1763511444.9775934
,18.550799847,,,,,0.4589934640057525,,,0.28417984116121187,-1.2149999999999999,3.0,0.0,1.0,,,1.0,251,,1.0,2.0,251.0,764,13.75,0.0,,,1763511444.9895265
,18.585721468,,,,,0.53,,,0.2730095965279488,-0.95,3.0,0.0,1.0,,,2.0,259,,2.0,2.0,259.0,788,27.5,0.0,,,1763511445.0243552
,18.610745363,,,,,0.22083647796503186,,,0.2649210072611673,-1.3525,3.0,0.0,0.0,,,1.0,265,,0.0,0.0,265.0,806,12.5,0.0,,,1763511445.049487
,18.631784843,,,,,0.0,,,0.2583638820072446,-1.48,3.0,0.0,0.0,,,0.0,270,,0.0,1.0,270.0,821,0.0,0.0,,,1763511445.0706558
,18.640889266,,,,,0.4589934640057525,,,0.25578670228422234,-1.2149999999999999,3.0,1.0,1.0,,,1.0,272,,1.0,3.0,272.0,827,13.75,0.0,,,1763511445.0795877
,18.645415683,,,,,0.4589934640057525,,,0.25450776877280124,-1.2149999999999999,3.0,0.0,1.0,,,1.0,273,,1.0,2.0,273.0,830,13.75,0.0,,,1763511445.0840983
,18.649803487,,,,,0.0,,,0.2532352299289372,-1.48,3.0,0.0,0.0,,,0.0,274,,0.0,2.0,274.0,833,0.0,0.0,,,1763511445.0885272
,18.672251234,,,,,0.4589934640057525,,,0.24696734223472733,-1.2149999999999999,3.0,0.0,1.0,,,1.0,279,,1.0,2.0,279.0,848,13.75,0.0,,,1763511445.11102
,18.687957661,,,,,0.45899346400575247,,,0.24206491716205145,-1.2149999999999999,3.0,0.0,0.0,,,1.0,283,,1.0,0.0,283.0,860,13.75,0.0,,,1763511445.126521
,18.728322347,,,,,0.4589934640057525,,,0.231387331601191,-1.2149999999999999,3.0,0.0,1.0,,,1.0,292,,1.0,2.0,292.0,887,13.75,0.0,,,1763511445.167181
,18.779457033,,,,,0.53,,,0.22007483514733558,-0.95,3.0,0.0,1.0,,,2.0,302,,2.0,2.0,302.0,917,27.5,0.0,,,1763511445.2181957
,18.864957956,,,,,0.4380282525134652,,,0.2000824143909432,-1.0875,3.0,0.0,0.0,,,2.0,321,,1.0,0.0,321.0,974,26.25,0.0,,,1763511445.3036528
,18.878266501,,,,,0.5178018443381599,,,0.19709615934585656,-0.9624999999999999,3.0,0.0,1.0,,,2.0,324,,2.0,2.0,324.0,983,26.25,0.0,,,1763511445.3170779
,18.891234926,,,,,0.4589934640057525,,,0.19415447453059972,-1.2149999999999999,3.0,1.0,0.0,,,1.0,327,,1.0,1.0,327.0,992,13.75,0.0,,,1763511445.3299758
,19.190342546,,,,,,,0.43801331520080566,,,,,,0.31749826669692993,,,330,-0.46627479791641235,,,,1000,,,,,1763511445.6283975
0.35131603479385376,19.198402939,,0.24153806269168854,,,,,,,,,,,,,,332,,,,,1000,,,,0.29626232385635376,1763511445.6370223
,19.555578679,,,,,1.3694045238715988,,,0.18840216465300522,0.2325000000000001,6.0,0.0,0.0,,,3.0,337,,8.0,0.0,333.0,1020,67.5,0.0,,,1763511445.9939733
,20.186339809,,,,,1.9229014535331754,,,0.18559023879528855,1.2399999999999998,8.0,1.0,1.0,,,3.0,340,,16.0,1.0,336.0,1047,66.25,0.0,,,1763511446.624703
,24.251248532,,,,,1.6306593758354317,,,0.17388222158237718,1.29,8.0,0.0,0.0,,,3.0,353,,17.0,2.0,349.0,1215,58.75,0.0,,,1763511450.6895552
,24.702061207,,,,,1.7094644629239895,,,0.1730128104744653,8.1375,19.0,0.0,0.0,,,3.0,354,,67.0,0.0,350.0,1234,107.5,0.0,,,1763511451.140186
,26.147764611,,,,,2.8376960284709845,,,0.16957841978827493,3.2424999999999997,12.0,0.0,0.0,,,3.0,358,,30.0,1.0,354.0,1294,87.5,0.0,,,1763511452.5860002
,29.431548674,,,,,1.6534868460317427,,,0.15967890763313974,1.8575,6.0,0.0,0.0,,,3.0,370,,18.0,0.0,366.0,1429,105.0,0.0,,,1763511455.869743
,31.586261739,,,,,1.302408825983608,,,0.1557266555690826,1.8074999999999999,6.0,0.0,0.0,,,3.0,375,,18.0,0.0,371.0,1523,100.0,0.0,,,1763511458.0246563
,38.138155535,,,,,2.8499210515380944,,,0.14016760486247823,2.4199999999999995,11.0,0.0,0.0,,,3.0,396,,23.0,1.0,392.0,1799,93.75,0.0,,,1763511464.5762992
,38.577154559,,,,,1.6360069529192098,,,0.138769433003975,3.022499999999999,10.0,0.0,0.0,,,3.0,398,,29.0,0.0,394.0,1817,80.0,0.0,,,1763511465.0153267
,41.649534865,,,,,1.9937449059496049,,,0.13398475271138335,7.072499999999998,20.0,0.0,0.0,,,3.0,405,,61.0,0.0,401.0,1946,75.0,1.0,,,1763511468.0877073
,42.222987702,,,,,6.137674641099837,,,0.13331482894782642,6.110000000000001,25.0,0.0,0.0,,,3.0,406,,52.0,1.0,402.0,1971,86.25,0.0,,,1763511468.6612105
,42.666469098,,,,,,,0.5802085995674133,,,,,,0.010224388912320137,,,407,-0.3246003985404968,,,,2000,,,,,1763511469.1047482
,44.533696127,,,,,2.068949008554828,,,0.1261630989318213,5.66,15.0,0.0,0.0,,,3.0,421,,48.0,0.0,413.0,2162,101.25,0.0,,,1763511470.972118
,45.693962631,,,,,1.6233510864874565,,,0.12365869841532712,7.2575,21.0,0.0,0.0,,,3.0,425,,64.0,2.0,417.0,2275,55.0,6.0,,,1763511472.1322403
,46.257530976,,,,,1.8210024711680104,,,0.12120401149972035,5.259999999999998,15.0,0.0,0.0,,,3.0,429,,48.0,0.0,421.0,2330,61.25,0.0,,,1763511472.696004
,46.653582524,,,,,3.327112111125805,,,0.12059799144222175,9.464999999999998,38.0,0.0,0.0,,,3.0,430,,82.0,2.0,422.0,2368,33.75,1.0,,,1763511473.0919597
,54.200807531,,,,,2.4769790067741813,,,0.11412846151764894,7.945,21.0,0.0,0.0,,,3.0,441,,67.0,0.0,433.0,2635,86.25,0.0,,,1763511480.6388738
,56.029538499,,,,,2.3026655749370115,,,0.11074712159185099,3.5474999999999994,10.0,0.0,0.0,,,3.0,447,,31.0,1.0,439.0,2708,107.5,0.0,,,1763511482.4677048
,58.792445587,,,,,3.687583049912234,,,0.10909420695870241,12.457500000000003,31.0,0.0,0.0,,,3.0,450,,102.0,2.0,442.0,2809,90.0,0.0,,,1763511485.2305517
,63.288945946,,,,,6.846295987612574,,,0.10533270926593409,20.042499999999993,57.0,1.0,0.0,,,3.0,457,,162.0,2.0,449.0,2959,72.5,0.0,,,1763511489.7270603
,68.656628309,,,,,1.3644779221372543,,,0.10018300685223579,3.649999999999999,14.0,0.0,0.0,,,3.0,471,,38.0,2.0,459.0,3142,26.25,0.0,,,1763511495.0947568
,69.608826945,,,,,5.39539328964998,,,0.0996820918179746,9.857500000000003,31.0,0.0,0.0,,,3.0,472,,82.0,0.0,460.0,3173,80.0,24.0,,,1763511496.046893
,76.945871365,,,,,2.4544704113107567,,,0.09528507271768329,7.724999999999998,19.0,0.0,0.0,,,3.0,481,,65.0,1.0,469.0,3418,91.25,0.0,,,1763511503.3839107
,84.549300997,,,,,3.393070143689915,,,0.09108200798387568,29.39500000000001,66.0,0.0,0.0,,,3.0,490,,235.0,2.0,478.0,3690,86.25,0.0,,,1763511510.987404
,88.943070522,,,,,4.059378031176705,,,0.0888276147181114,26.22000000000003,61.0,0.0,0.0,,,3.0,495,,211.0,0.0,483.0,3872,73.75,0.0,,,1763511515.3811188
,90.102650988,,,,,2.488684391400404,,,0.08794155926129824,10.369999999999997,26.0,1.0,0.0,,,3.0,497,,87.0,1.0,485.0,3920,73.75,0.0,,,1763511516.5407832
,93.021114948,,,,,1.068184792065494,,,0.08662902049662846,14.132500000000002,31.0,0.0,0.0,,,3.0,504,,115.0,0.0,488.0,4042,95.0,0.0,,,1763511519.4591584
,93.863429562,,,,,2.1593806982558683,,,0.08619587539414532,15.085000000000003,35.0,0.0,0.0,,,3.0,505,,125.0,0.0,489.0,4077,61.25,0.0,,,1763511520.3015134
,100.405011269,,,,,2.9431148465528874,,,0.08198177029173696,15.155000000000001,37.0,0.0,0.0,,,3.0,515,,123.0,0.0,499.0,4349,91.25,0.0,,,1763511526.8431914
,105.099512303,,,,,4.34885257855449,,,0.07915509187866444,14.3375,34.0,0.0,0.0,,,3.0,522,,115.0,0.0,506.0,4543,112.5,0.0,,,1763511531.5376012
,110.477954624,,,,,2.4877550120540404,,,0.07604374613140748,10.435000000000002,25.0,0.0,0.0,,,3.0,530,,86.0,0.0,514.0,4765,93.75,0.0,,,1763511536.9161265
