global_step,robot_2/q_std,mean_episode_reward,robot_1/q_mean,episode,robot_2/loss,robot_0/q_std,_runtime,robot_3/q_std,robot_2/q_mean,robot_3/q_mean,mean_final_energy,robot_1/loss,robot_0/loss,epsilon,_timestamp,robot_1/q_std,total_agent_collisions_per_episode,episode_length,total_kills_per_episode,robot_3/loss,robot_0/q_mean,total_charges_per_episode,_step,survival_rate,std_episode_reward
30000,0.8599655628204346,,,,0.12282474339008331,,682.657741094,,13.410431861877441,,,,,,1763436744.0305514,,,,,,,,327,,
30602,,40.254999999999995,,210.0,,,697.08667265,,,,141.75,,,0.34901730169741024,1763436758.4591227,,37.0,134.0,0.0,,,316.0,330,3.0,7.537720146038848
31000,,,14.847455978393555,,,,706.645384616,,,,,0.042070645838975906,,,1763436768.0180314,0.6197587251663208,,,,,,,332,,
32000,,,,,,0.4737984836101532,730.796550834,,,,,,0.01672852411866188,,1763436792.1690285,,,,,,14.418825149536133,,337,,
32000,,,,,,,730.81662963,0.6091457605361938,,15.20121955871582,,,,,1763436792.1893785,,,,,0.06471401453018188,,,340,,
37000,0.9408745169639587,,,,0.01674783043563366,,851.872548816,,15.830677032470703,,,,,,1763436913.2454445,,,,,,,,370,,
38000,,,17.178340911865234,,,,874.697670735,,,,,0.041590481996536255,,,1763436936.0704412,0.5866916179656982,,,,,,,375,,
41000,,,,,,,944.978119229,0.7584179043769836,,18.31149673461914,,,,,1763437006.3508458,,,,,0.044496770948171616,,,396,,
46000,,,19.527278900146484,,,,1057.702187598,,,,,0.1295192837715149,,,1763437119.0750349,0.730351448059082,,,,,,,425,,
48000,1.0827573537826538,,,,0.0907081663608551,,1105.930835738,,19.608684539794922,,,,,,1763437167.3037271,,,,,,,,441,,
49666,,164.8525,,254.0,,,1145.728991902,,,,197.75,,,0.2799384215094006,1763437207.1014302,,63.0,500.0,0.0,,,1279.0,450,4.0,7.798337563224563
53000,,,,,,1.6858744621276855,1225.632559772,,,,,,2.2661263942718506,,1763437287.0052192,,,,,,21.31061553955078,,471,,
54179,,174.98249999999993,,265.0,,,1253.712399479,,,,198.25,,,0.2649210072611673,1763437315.0848622,,34.0,500.0,0.0,,,1360.0,481,4.0,4.499790967367128
56000,,,,,,0.7054458856582642,1296.901949411,,,,,,0.039615288376808167,,1763437358.2744265,,,,,,22.580780029296875,,490,,
57000,,,22.753456115722656,,,,1320.96097809,,,,,0.11487492173910141,,,1763437382.3337743,0.7875639200210571,,,,,,,497,,
58000,,,23.164216995239258,,,,1344.869486238,,,,,0.05673575401306152,,,1763437406.2424011,0.8607128858566284,,,,,,,504,,
60000,,,,,,0.5328494906425476,1391.102695016,,,,,,0.04383593797683716,,1763437452.4752603,,,,,,24.09105110168457,,515,,
62000,,,,,,,1438.497448164,0.6861504912376404,,24.372238159179688,,,,,1763437499.8702052,,,,,0.05078345537185669,,,530,,
64000,,,,,,0.6960063576698303,1489.34393112,,,,,,0.025109805166721344,,1763437550.716467,,,,,,24.801136016845703,,539,,
65000,1.050575613975525,,,,0.11811140179634094,,1514.662679438,,25.644933700561523,,,,,,1763437576.0354404,,,,,,,,547,,
66227,,177.7199999999998,,291.0,,,1544.112165152,,,,197.0,,,0.23255008201124722,1763437605.4844458,,30.0,500.0,0.0,,,1382.0,555,4.0,11.14200161550861
67000,1.2486202716827393,,,,0.8662892580032349,,1562.637060805,,25.341793060302734,,,,,,1763437624.0100465,,,,,,,,559,,
68242,,69.69000000000001,,296.0,,,1590.533375174,,,,137.75,,,0.22679417751985861,1763437651.9057503,,20.0,194.0,0.0,,,547.0,568,3.0,7.976374489704011
71893,,182.49499999999983,,305.0,,,1678.293949382,,,,199.5,,,0.2167901907234072,1763437739.666385,,34.0,500.0,0.0,,,1420.0,589,4.0,5.135180133159921
