total_kills_per_episode,global_step,robot_1/loss,robot_3/q_mean,mean_final_energy,robot_3/loss,total_charges_per_episode,_runtime,_timestamp,mean_episode_reward,total_agent_collisions_per_episode,_step,robot_0/q_std,robot_2/loss,episode_length,robot_1/q_mean,survival_rate,episode,robot_0/loss,robot_2/q_mean,robot_3/q_std,robot_0/q_mean,std_episode_reward,epsilon,robot_1/q_std,robot_2/q_std
0.0,293,,,49.0,,0.0,18.212777534,1763425028.3793979,-0.4925,0.0,136,,,2.0,,3.0,136.0,,,,,0.3500267846894006,0.5,,
0.0,307,,,26.0,,1.0,18.230469157,1763425028.3970478,-0.6,0.0,143,,,2.0,,2.0,143.0,,,,,0.4373785545725808,0.5,,
0.0,315,,,36.75,,0.0,18.240937683,1763425028.4074378,-0.6174999999999999,0.0,147,,,2.0,,2.0,147.0,,,,,0.41081473926820106,0.5,,
0.0,319,,,26.0,,1.0,18.246572046,1763425028.413122,-0.5999999999999999,2.0,149,,,2.0,,2.0,149.0,,,,,0.4373785545725808,0.5,,
0.0,321,,,37.25,,2.0,18.249515581,1763425028.41607,-0.36,1.0,150,,,2.0,,3.0,150.0,,,,,0.41910619179391756,0.5,,
0.0,327,,,24.75,,0.0,18.256834341,1763425028.4232821,-0.74,2.0,153,,,2.0,,1.0,153.0,,,,,0.4330127018922193,0.5,,
0.0,331,,,24.5,,0.0,18.263023117,1763425028.4296455,-0.7424999999999999,0.0,155,,,2.0,,1.0,155.0,,,,,0.4286825748732971,0.5,,
0.0,335,,,38.5,,2.0,18.267647484,1763425028.4342256,-0.3475,0.0,157,,,2.0,,3.0,157.0,,,,,0.43083494519363214,0.5,,
0.0,345,,,36.25,,1.0,18.280211801,1763425028.4466088,-0.4775,1.0,161,,,4.0,,2.0,161.0,,,,,0.3465093793824346,0.5,,
0.0,347,,,24.5,,0.0,18.282775074,1763425028.4494166,-0.74,1.0,162,,,2.0,,2.0,162.0,,,,,0.25,0.5,,
0.0,357,,,61.5,,0.0,18.295740605,1763425028.4623036,-0.3675,0.0,167,,,2.0,,3.0,167.0,,,,,0.4123332996496888,0.5,,
0.0,363,,,36.75,,0.0,18.304743632,1763425028.4713454,-0.6174999999999999,0.0,170,,,2.0,,2.0,170.0,,,,,0.41081473926820106,0.5,,
0.0,367,,,50.5,,1.0,18.310864954,1763425028.4775503,-0.3525,1.0,172,,,2.0,,3.0,172.0,,,,,0.4266365549270245,0.5,,
0.0,371,,,49.25,,1.0,18.316440168,1763425028.4830737,-0.365,0.0,174,,,2.0,,3.0,174.0,,,,,0.4146383966783588,0.5,,
0.0,383,,,36.75,,0.0,18.334746627,1763425028.5012958,-0.6174999999999999,1.0,180,,,2.0,,2.0,180.0,,,,,0.41081473926820106,0.5,,
0.0,410,,,26.0,,1.0,18.371530576,1763425028.5380895,-0.6,2.0,193,,,2.0,,2.0,193.0,,,,,0.4373785545725808,0.5,,
1.0,415,,,37.75,,2.0,18.378260573,1763425028.544861,-0.3475,1.0,195,,,3.0,,2.0,195.0,,,,,0.42210040274797184,0.5,,
0.0,422,,,38.25,,1.0,18.385581965,1763425028.5521753,-0.475,0.0,198,,,2.0,,3.0,198.0,,,,,0.375066660741794,0.5,,
0.0,428,,,36.75,,0.0,18.405515487,1763425028.5719032,-0.6174999999999999,0.0,201,,,2.0,,2.0,201.0,,,,,0.41081473926820106,0.5,,
0.0,432,,,12.25,,0.0,18.413002485,1763425028.579593,-0.865,1.0,203,,,2.0,,1.0,203.0,,,,,0.21650635094610965,0.5,,
0.0,455,,,24.5,,0.0,18.449012497,1763425028.6153936,-0.74,1.0,213,,,2.0,,2.0,213.0,,,,,0.25,0.5,,
0.0,457,,,37.0,,1.0,18.451534791,1763425028.6180167,-0.49,0.0,214,,,2.0,,2.0,214.0,,,,,0.6123724356957945,0.5,,
0.0,459,,,38.25,,1.0,18.454086649,1763425028.6206114,-0.475,1.0,215,,,2.0,,3.0,215.0,,,,,0.375066660741794,0.5,,
0.0,463,,,50.5,,1.0,18.458837647,1763425028.6252363,-0.3525,0.0,217,,,2.0,,3.0,217.0,,,,,0.4266365549270245,0.5,,
0.0,480,,,38.5,,2.0,18.482117842,1763425028.6486506,-0.3475,0.0,225,,,2.0,,3.0,225.0,,,,,0.43083494519363214,0.5,,
0.0,486,,,36.75,,0.0,18.489180454,1763425028.6558237,-0.615,2.0,228,,,2.0,,3.0,228.0,,,,,0.21650635094610965,0.5,,
0.0,496,,,49.25,,1.0,18.50216426,1763425028.6688285,-0.365,1.0,233,,,2.0,,3.0,233.0,,,,,0.4146383966783588,0.5,,
0.0,498,,,26.0,,1.0,18.50437185,1763425028.6710613,-0.6,0.0,234,,,2.0,,2.0,234.0,,,,,0.4373785545725808,0.5,,
0.0,502,,,36.75,,0.0,18.509120981,1763425028.67568,-0.615,0.0,236,,,2.0,,3.0,236.0,,,,,0.21650635094610965,0.5,,
1.0,508,,,28.0,,3.0,18.514883916,1763425028.6812737,-0.3099999999999999,2.0,238,,,4.0,,2.0,238.0,,,,,0.8879189152169246,0.5,,
0.0,512,,,12.25,,0.0,18.520289553,1763425028.6869218,-0.865,1.0,240,,,2.0,,1.0,240.0,,,,,0.21650635094610965,0.5,,
0.0,514,,,49.25,,1.0,18.522783953,1763425028.6894538,-0.365,0.0,241,,,2.0,,3.0,241.0,,,,,0.4146383966783588,0.5,,
0.0,517,,,48.75,,0.0,18.526003822,1763425028.6924083,-0.485,0.0,242,,,3.0,,3.0,242.0,,,,,0.3535887441647429,0.5,,
0.0,527,,,24.5,,0.0,18.538383784,1763425028.704844,-0.74,0.0,247,,,2.0,,2.0,247.0,,,,,0.25,0.5,,
0.0,529,,,24.5,,0.0,18.541433288,1763425028.7079582,-0.7424999999999999,1.0,248,,,2.0,,1.0,248.0,,,,,0.4286825748732971,0.5,,
0.0,535,,,49.25,,1.0,18.549322349,1763425028.7159495,-0.3675,0.0,251,,,2.0,,2.0,251.0,,,,,0.6480885356183984,0.5,,
0.0,552,,,24.5,,0.0,18.569113244,1763425028.7358084,-0.7424999999999999,0.0,259,,,2.0,,1.0,259.0,,,,,0.4286825748732971,0.5,,
0.0,556,,,50.5,,1.0,18.574099635,1763425028.7407143,-0.3525,1.0,261,,,2.0,,3.0,261.0,,,,,0.4266365549270245,0.5,,
0.0,564,,,49.0,,0.0,18.5836338,1763425028.7502477,-0.4925,2.0,265,,,2.0,,3.0,265.0,,,,,0.3500267846894006,0.5,,
0.0,573,,,24.75,,0.0,18.596043503,1763425028.7624545,-0.74,0.0,269,,,2.0,,1.0,269.0,,,,,0.4330127018922193,0.5,,
0.0,575,,,12.25,,0.0,18.599934897,1763425028.7663531,-0.865,1.0,270,,,2.0,,1.0,270.0,,,,,0.21650635094610965,0.5,,
0.0,579,,,12.25,,0.0,18.605634739,1763425028.7722144,-0.865,0.0,272,,,2.0,,1.0,272.0,,,,,0.21650635094610965,0.5,,
0.0,581,,,36.75,,0.0,18.609191717,1763425028.7755783,-0.6174999999999999,0.0,273,,,2.0,,2.0,273.0,,,,,0.41081473926820106,0.5,,
0.0,583,,,49.75,,3.0,18.611885605,1763425028.7785177,-0.10999999999999999,0.0,274,,,2.0,,3.0,274.0,,,,,0.7437405461584032,0.5,,
0.0,593,,,49.25,,1.0,18.623053146,1763425028.7897038,-0.3675,0.0,279,,,2.0,,2.0,279.0,,,,,0.6480885356183984,0.5,,
0.0,599,,,37.0,,1.0,18.630675936,1763425028.797259,-0.4875,1.0,282,,,2.0,,3.0,282.0,,,,,0.35709767571352236,0.5,,
0.0,601,,,24.75,,1.0,18.633300781,1763425028.7998176,-0.6125,1.0,283,,,2.0,,2.0,283.0,,,,,0.4183524232032127,0.5,,
0.0,619,,,61.25,,0.0,18.657103429,1763425028.8236501,-0.37,0.0,292,,,2.0,,3.0,292.0,,,,,0.4100609710762535,0.5,,
0.0,640,,,24.5,,0.0,18.694282213,1763425028.8606887,-0.74,1.0,302,,,2.0,,2.0,302.0,,,,,0.25,0.5,,
0.0,659,,,50.75,,2.0,18.720959978,1763425028.887645,-0.22499999999999998,0.0,311,,,2.0,,3.0,311.0,,,,,0.44240818256447295,0.5,,
0.0,670,,,49.25,,1.0,18.735284684,1763425028.9016933,-0.365,1.0,316,,,2.0,,3.0,316.0,,,,,0.4146383966783588,0.5,,
0.0,682,,,49.5,,1.0,18.746892828,1763425028.9135768,-0.3625,1.0,321,,,2.0,,3.0,321.0,,,,,0.41685579041198406,0.5,,
0.0,684,,,36.75,,0.0,18.750200945,1763425028.916709,-0.6174999999999999,1.0,322,,,2.0,,2.0,322.0,,,,,0.41081473926820106,0.5,,
0.0,688,,,49.5,,1.0,18.755979023,1763425028.9223814,-0.3625,0.0,324,,,2.0,,3.0,324.0,,,,,0.41685579041198406,0.5,,
0.0,694,,,24.5,,0.0,18.763707448,1763425028.9303453,-0.74,1.0,327,,,2.0,,2.0,327.0,,,,,0.25,0.5,,
0.0,700,,,49.25,,1.0,18.76979708,1763425028.9363832,-0.365,0.0,330,,,2.0,,3.0,330.0,,,,,0.4146383966783588,0.5,,
