episode,r0_hit_rate,r1_hit_rate,both_hit_rate,r0_hunt_rate,r1_hunt_rate,both_hunt_rate,coop_rate,r0_offensive,r1_offensive,r2_kill_rate
50000,0.060000,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
250000,0.000000,0.100000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,1.000000,0.000000
500000,0.300000,0.380000,0.120000,0.300000,0.380000,0.120000,0.020000,1.000000,1.000000,0.000000
700000,0.280000,0.320000,0.040000,0.280000,0.300000,0.020000,0.000000,0.944444,0.979592,0.000000
950000,0.540000,0.180000,0.100000,0.520000,0.140000,0.060000,0.020000,0.944444,0.833333,0.000000
1150000,0.240000,0.260000,0.060000,0.240000,0.260000,0.060000,0.020000,0.978261,1.000000,0.000000
1400000,0.360000,0.200000,0.020000,0.320000,0.180000,0.020000,0.040000,0.932203,0.896552,0.000000
1600000,0.400000,0.380000,0.040000,0.400000,0.380000,0.040000,0.040000,0.982143,0.982143,0.000000
1850000,0.420000,0.380000,0.160000,0.380000,0.360000,0.140000,0.020000,0.927536,0.954545,0.000000
2050000,0.560000,0.080000,0.040000,0.560000,0.080000,0.040000,0.020000,0.988506,1.000000,0.000000
