/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run snphsh0j
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/scripts/wandb/run-20251118_112059-snphsh0j
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run collision-10-energy-200-epsilon-decay
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/snphsh0j
Using device: cuda
[Episode 43] Steps: 47 | Survival: 3/4 | Mean Reward: 3.90 | Collisions: 19 | Kills: 0
[Episode 44] Steps: 47 | Survival: 3/4 | Mean Reward: 3.14 | Collisions: 38 | Kills: 0
[Episode 45] Steps: 33 | Survival: 3/4 | Mean Reward: 2.66 | Collisions: 28 | Kills: 2
[Episode 46] Steps: 43 | Survival: 3/4 | Mean Reward: 2.66 | Collisions: 26 | Kills: 0
[Episode 47] Steps: 43 | Survival: 3/4 | Mean Reward: 4.03 | Collisions: 25 | Kills: 1
[Episode 48] Steps: 46 | Survival: 3/4 | Mean Reward: 2.88 | Collisions: 31 | Kills: 3
[Episode 49] Steps: 36 | Survival: 3/4 | Mean Reward: 3.56 | Collisions: 25 | Kills: 1
[Episode 50] Steps: 57 | Survival: 3/4 | Mean Reward: 3.57 | Collisions: 36 | Kills: 0
[Episode 51] Steps: 43 | Survival: 3/4 | Mean Reward: 1.40 | Collisions: 34 | Kills: 2
[Episode 52] Steps: 56 | Survival: 3/4 | Mean Reward: 6.42 | Collisions: 33 | Kills: 0
[Episode 53] Steps: 45 | Survival: 3/4 | Mean Reward: 2.67 | Collisions: 27 | Kills: 0
[Episode 54] Steps: 53 | Survival: 3/4 | Mean Reward: 4.56 | Collisions: 19 | Kills: 0
[Episode 55] Steps: 45 | Survival: 3/4 | Mean Reward: 3.40 | Collisions: 34 | Kills: 0
[Episode 56] Steps: 45 | Survival: 3/4 | Mean Reward: 5.24 | Collisions: 19 | Kills: 0
[Episode 57] Steps: 59 | Survival: 3/4 | Mean Reward: 8.34 | Collisions: 28 | Kills: 0
[Episode 58] Steps: 43 | Survival: 3/4 | Mean Reward: 2.46 | Collisions: 19 | Kills: 0
[Episode 59] Steps: 49 | Survival: 3/4 | Mean Reward: 5.78 | Collisions: 28 | Kills: 3
[Episode 60] Steps: 46 | Survival: 3/4 | Mean Reward: 4.41 | Collisions: 25 | Kills: 0
[Episode 61] Steps: 81 | Survival: 3/4 | Mean Reward: 10.41 | Collisions: 37 | Kills: 1
[Episode 62] Steps: 36 | Survival: 3/4 | Mean Reward: 2.35 | Collisions: 13 | Kills: 2
[Episode 63] Steps: 60 | Survival: 3/4 | Mean Reward: 6.81 | Collisions: 28 | Kills: 0
[Episode 64] Steps: 49 | Survival: 3/4 | Mean Reward: 3.93 | Collisions: 29 | Kills: 3
[Episode 65] Steps: 43 | Survival: 3/4 | Mean Reward: 2.51 | Collisions: 30 | Kills: 1
[Episode 66] Steps: 61 | Survival: 3/4 | Mean Reward: 7.33 | Collisions: 31 | Kills: 1
[Episode 67] Steps: 69 | Survival: 3/4 | Mean Reward: 8.51 | Collisions: 29 | Kills: 1
[Episode 68] Steps: 51 | Survival: 3/4 | Mean Reward: 6.14 | Collisions: 27 | Kills: 3
[Episode 69] Steps: 39 | Survival: 3/4 | Mean Reward: 3.22 | Collisions: 28 | Kills: 1
[Episode 70] Steps: 70 | Survival: 3/4 | Mean Reward: 11.32 | Collisions: 22 | Kills: 0
[Episode 71] Steps: 60 | Survival: 3/4 | Mean Reward: 7.79 | Collisions: 35 | Kills: 2
[Episode 72] Steps: 61 | Survival: 3/4 | Mean Reward: 5.01 | Collisions: 35 | Kills: 1
[Episode 73] Steps: 52 | Survival: 3/4 | Mean Reward: 5.54 | Collisions: 26 | Kills: 0
[Episode 74] Steps: 73 | Survival: 3/4 | Mean Reward: 8.36 | Collisions: 38 | Kills: 0
[Episode 75] Steps: 68 | Survival: 3/4 | Mean Reward: 9.28 | Collisions: 21 | Kills: 1
