episode,any_hit_ep_rate,hunt_ep_rate,offensive_rate,double_hit_pct,hit_retreat_pct
10000,0.040000,0.040000,0.937500,0.777778,0.222222
260000,0.660000,0.200000,0.005963,0.000995,0.999005
510000,0.040000,0.010000,0.025641,0.000000,1.000000
760000,0.720000,0.290000,0.033886,0.008352,0.991648
1010000,0.270000,0.020000,0.001189,0.000000,1.000000
1260000,0.730000,0.040000,0.002035,0.000764,0.999236
1510000,0.500000,0.080000,0.008621,0.003088,0.996912
1760000,0.900000,0.070000,0.001976,0.000539,0.999461
2010000,0.740000,0.060000,0.001743,0.000436,0.999564
2260000,0.910000,0.080000,0.003726,0.001243,0.998757
2510000,0.180000,0.110000,0.045685,0.013722,0.986278
2760000,0.890000,0.060000,0.001262,0.000180,0.999820
3010000,0.970000,0.050000,0.002582,0.000940,0.999060
3260000,0.630000,0.040000,0.004554,0.000912,0.999088
3510000,0.140000,0.070000,0.521739,0.277778,0.722222
3760000,0.120000,0.060000,0.631579,0.187500,0.812500
4010000,0.840000,0.770000,0.846667,0.153846,0.846154
4260000,0.190000,0.120000,0.708333,0.200000,0.800000
4510000,1.000000,0.400000,0.419355,0.008130,0.991870
4760000,1.000000,0.040000,0.048780,0.016529,0.983471
5010000,0.550000,0.400000,0.633588,0.056452,0.943548
5260000,0.590000,0.530000,0.750000,0.213115,0.786885
5510000,0.520000,0.330000,0.504167,0.403509,0.596491
5760000,0.310000,0.270000,0.711864,0.072727,0.927273
6000001,0.650000,0.350000,0.074906,0.005650,0.994350
