episode,r0_hit_rate,r1_hit_rate,both_hit_rate,r0_hunt_rate,r1_hunt_rate,both_hunt_rate,coop_rate,r0_offensive,r1_offensive,r2_kill_rate
50000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
200000,0.020000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.833333,0.000000,0.000000
250000,0.040000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.416667,0.000000,0.000000
300000,0.030000,0.120000,0.000000,0.020000,0.090000,0.000000,0.000000,0.400000,0.363636,0.000000
350000,0.070000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.330827,0.000000,0.000000
400000,0.190000,0.180000,0.020000,0.190000,0.050000,0.010000,0.000000,0.365145,0.048780,0.000000
450000,0.070000,0.190000,0.000000,0.030000,0.000000,0.000000,0.000000,0.394366,0.000000,0.000000
500000,0.190000,0.110000,0.010000,0.170000,0.000000,0.000000,0.000000,0.266667,0.000000,0.000000
550000,0.170000,0.160000,0.040000,0.050000,0.050000,0.000000,0.010000,0.376344,0.238095,0.000000
600000,0.110000,0.240000,0.030000,0.100000,0.010000,0.000000,0.000000,0.423077,0.011561,0.000000
650000,0.120000,0.010000,0.010000,0.110000,0.010000,0.010000,0.000000,0.297297,0.555556,0.000000
750000,0.060000,0.280000,0.010000,0.060000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
800000,0.040000,0.690000,0.020000,0.040000,0.070000,0.000000,0.000000,1.000000,0.013285,0.000000
850000,0.120000,0.440000,0.060000,0.050000,0.240000,0.020000,0.010000,0.388889,0.279851,0.000000
900000,0.030000,0.730000,0.010000,0.020000,0.160000,0.000000,0.000000,0.875000,0.090226,0.000000
950000,0.030000,0.230000,0.010000,0.020000,0.210000,0.010000,0.000000,0.500000,0.433333,0.000000
1000000,0.090000,0.790000,0.070000,0.060000,0.580000,0.020000,0.000000,0.135802,0.274712,0.000000
1050000,0.170000,0.450000,0.010000,0.050000,0.370000,0.000000,0.000000,0.138889,0.409786,0.000000
1100000,0.020000,0.970000,0.020000,0.020000,0.970000,0.020000,0.020000,0.666667,0.395795,0.000000
1150000,0.000000,0.990000,0.000000,0.000000,0.990000,0.000000,0.000000,0.000000,0.469328,0.000000
1200000,0.000000,0.980000,0.000000,0.000000,0.980000,0.000000,0.000000,0.000000,0.384541,0.000000
1250000,0.000000,1.000000,0.000000,0.000000,0.900000,0.000000,0.000000,0.000000,0.362735,0.000000
1300000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.743197,0.000000
