episode,r0_hit_rate,r1_hit_rate,both_hit_rate,r0_hunt_rate,r1_hunt_rate,both_hunt_rate,coop_rate,r0_offensive,r1_offensive,r2_kill_rate
50000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
600000,0.110000,0.240000,0.030000,0.100000,0.010000,0.000000,0.000000,0.423077,0.011561,0.000000
1150000,0.000000,0.990000,0.000000,0.000000,0.990000,0.000000,0.000000,0.000000,0.469328,0.000000
1700000,0.140000,1.000000,0.140000,0.060000,1.000000,0.060000,0.040000,0.375000,0.634426,0.000000
2250000,0.240000,0.990000,0.230000,0.200000,0.960000,0.190000,0.180000,0.540000,0.741935,0.000000
2800000,0.170000,0.970000,0.140000,0.170000,0.970000,0.140000,0.120000,0.977778,0.847134,0.000000
3350000,0.760000,0.960000,0.730000,0.660000,0.910000,0.580000,0.450000,0.698413,0.643032,0.000000
3900000,0.580000,0.870000,0.510000,0.400000,0.810000,0.310000,0.160000,0.460870,0.742120,0.000000
4450000,0.090000,0.980000,0.080000,0.050000,0.710000,0.040000,0.000000,0.523810,0.149665,0.000000
5000000,0.280000,0.900000,0.230000,0.250000,0.810000,0.210000,0.120000,0.850746,0.572711,0.000000
