episode,any_hit_ep_rate,hunt_ep_rate,offensive_rate,double_hit_pct,hit_retreat_pct
50000,0.180000,0.180000,1.000000,0.580645,0.419355
450000,0.000000,0.000000,0.000000,0.000000,0.000000
900000,0.030000,0.030000,1.000000,0.000000,1.000000
1300000,0.200000,0.200000,0.911765,0.214286,0.785714
1700000,0.110000,0.090000,0.913043,0.210526,0.789474
2150000,0.690000,0.410000,0.239726,0.068293,0.931707
2550000,0.980000,0.580000,0.422939,0.025735,0.974265
2950000,0.680000,0.590000,0.550369,0.608696,0.391304
3400000,0.850000,0.810000,0.528958,0.070248,0.929752
3800000,0.820000,0.140000,0.037500,0.009464,0.990536
4200000,0.820000,0.610000,0.453988,0.012422,0.987578
4650000,1.000000,0.980000,0.947368,0.017857,0.982143
5050000,0.460000,0.420000,0.920455,0.060241,0.939759
5450000,0.580000,0.130000,0.066390,0.008368,0.991632
5900000,0.770000,0.320000,0.294737,0.079545,0.920455
6300000,0.920000,0.410000,0.116402,0.002653,0.997347
6700000,0.980000,0.460000,0.363958,0.199153,0.800847
7150000,0.860000,0.520000,0.519115,0.392157,0.607843
7550000,1.000000,0.450000,0.459548,0.723284,0.276716
7950000,0.890000,0.290000,0.387500,0.134752,0.865248
8400000,1.000000,0.050000,0.008376,0.003268,0.996732
8800000,0.960000,0.190000,0.041221,0.010023,0.989977
9200000,0.630000,0.400000,0.146750,0.043037,0.956963
9650000,0.770000,0.170000,0.109541,0.025362,0.974638
10000001,0.990000,0.770000,0.482412,0.031088,0.968912
